subject,country,country_name,lottery,z1,z2,p1,ce
62,2,Belgium,1,5.0,0.0,0.5,2.75
62,2,Belgium,2,10.0,0.0,0.5,4.25
62,2,Belgium,3,20.0,0.0,0.5,8.75
62,2,Belgium,4,30.0,0.0,0.5,14.75
62,2,Belgium,5,30.0,10.0,0.5,17.25
62,2,Belgium,6,30.0,20.0,0.5,24.75
62,2,Belgium,7,20.0,0.0,0.125,5.75
62,2,Belgium,8,20.0,5.0,0.125,8.75
62,2,Belgium,9,20.0,0.0,0.25,6.25
62,2,Belgium,10,20.0,0.0,0.375,6.75
62,2,Belgium,11,20.0,0.0,0.625,9.75
62,2,Belgium,12,20.0,0.0,0.75,12.75
62,2,Belgium,13,20.0,0.0,0.875,17.75
62,2,Belgium,14,20.0,5.0,0.875,17.75
62,2,Belgium,23,-5.0,0.0,0.5,-2.25
62,2,Belgium,24,-10.0,0.0,0.5,-4.25
62,2,Belgium,25,-20.0,0.0,0.5,-9.25
62,2,Belgium,26,-20.0,-5.0,0.5,-12.25
62,2,Belgium,27,-20.0,-10.0,0.5,-14.25
62,2,Belgium,28,-20.0,0.0,0.125,-4.75
62,2,Belgium,29,-20.0,-5.0,0.125,-7.75
62,2,Belgium,30,-20.0,0.0,0.25,-7.75
62,2,Belgium,31,-20.0,0.0,0.375,-9.25
62,2,Belgium,32,-20.0,0.0,0.625,-14.75
62,2,Belgium,33,-20.0,0.0,0.75,-15.25
62,2,Belgium,34,-20.0,0.0,0.875,-17.25
62,2,Belgium,35,-20.0,-5.0,0.875,-17.25
62,2,Belgium,44,20.0,0.0,0.5,10.75
63,2,Belgium,1,5.0,0.0,0.5,3.25
63,2,Belgium,2,10.0,0.0,0.5,7.25
63,2,Belgium,3,20.0,0.0,0.5,8.25
63,2,Belgium,4,30.0,0.0,0.5,14.75
63,2,Belgium,5,30.0,10.0,0.5,21.75
63,2,Belgium,6,30.0,20.0,0.5,22.75
63,2,Belgium,7,20.0,0.0,0.125,9.25
63,2,Belgium,8,20.0,5.0,0.125,11.75
63,2,Belgium,9,20.0,0.0,0.25,12.25
63,2,Belgium,10,20.0,0.0,0.375,10.75
63,2,Belgium,11,20.0,0.0,0.625,8.25
63,2,Belgium,12,20.0,0.0,0.75,7.75
63,2,Belgium,13,20.0,0.0,0.875,13.25
63,2,Belgium,14,20.0,5.0,0.875,12.25
63,2,Belgium,23,-5.0,0.0,0.5,-0.75
63,2,Belgium,24,-10.0,0.0,0.5,-1.75
63,2,Belgium,25,-20.0,0.0,0.5,-10.25
63,2,Belgium,26,-20.0,-5.0,0.5,-10.75
63,2,Belgium,27,-20.0,-10.0,0.5,-12.25
63,2,Belgium,28,-20.0,0.0,0.125,-5.75
63,2,Belgium,29,-20.0,-5.0,0.125,-8.75
63,2,Belgium,30,-20.0,0.0,0.25,-10.25
63,2,Belgium,31,-20.0,0.0,0.375,-8.25
63,2,Belgium,32,-20.0,0.0,0.625,-4.25
63,2,Belgium,33,-20.0,0.0,0.75,-4.75
63,2,Belgium,34,-20.0,0.0,0.875,-3.75
63,2,Belgium,35,-20.0,-5.0,0.875,-7.25
63,2,Belgium,44,20.0,0.0,0.5,20.25
64,2,Belgium,1,5.0,0.0,0.5,3.25
64,2,Belgium,2,10.0,0.0,0.5,5.25
64,2,Belgium,3,20.0,0.0,0.5,6.75
64,2,Belgium,4,30.0,0.0,0.5,9.75
64,2,Belgium,5,30.0,10.0,0.5,12.25
64,2,Belgium,6,30.0,20.0,0.5,20.25
64,2,Belgium,7,20.0,0.0,0.125,10.25
64,2,Belgium,8,20.0,5.0,0.125,10.25
64,2,Belgium,9,20.0,0.0,0.25,10.25
64,2,Belgium,10,20.0,0.0,0.375,9.75
64,2,Belgium,11,20.0,0.0,0.625,15.25
64,2,Belgium,12,20.0,0.0,0.75,15.25
64,2,Belgium,13,20.0,0.0,0.875,17.25
64,2,Belgium,14,20.0,5.0,0.875,19.75
64,2,Belgium,23,-5.0,0.0,0.5,-2.75
64,2,Belgium,24,-10.0,0.0,0.5,-5.25
