subject,country,country_name,lottery,z1,z2,p1,ce
237,4,Cambodia,1,5.0,0.0,0.5,4.25
237,4,Cambodia,2,10.0,0.0,0.5,6.25
237,4,Cambodia,3,20.0,0.0,0.5,9.75
237,4,Cambodia,4,30.0,0.0,0.5,15.75
237,4,Cambodia,5,30.0,10.0,0.5,20.75
237,4,Cambodia,6,30.0,20.0,0.5,23.75
237,4,Cambodia,7,20.0,0.0,0.125,10.25
237,4,Cambodia,8,20.0,5.0,0.125,16.25
237,4,Cambodia,9,20.0,0.0,0.25,1.25
237,4,Cambodia,10,20.0,0.0,0.375,4.25
237,4,Cambodia,11,20.0,0.0,0.625,14.25
237,4,Cambodia,12,20.0,0.0,0.75,10.25
237,4,Cambodia,13,20.0,0.0,0.875,13.75
237,4,Cambodia,14,20.0,5.0,0.875,13.75
237,4,Cambodia,23,-5.0,0.0,0.5,-1.25
237,4,Cambodia,24,-10.0,0.0,0.5,-1.75
237,4,Cambodia,25,-20.0,0.0,0.5,-4.25
237,4,Cambodia,26,-20.0,-5.0,0.5,-6.25
237,4,Cambodia,27,-20.0,-10.0,0.5,-11.25
237,4,Cambodia,28,-20.0,0.0,0.125,-1.25
237,4,Cambodia,29,-20.0,-5.0,0.125,-14.25
237,4,Cambodia,30,-20.0,0.0,0.25,-1.75
237,4,Cambodia,31,-20.0,0.0,0.375,-12.25
237,4,Cambodia,32,-20.0,0.0,0.625,-2.25
237,4,Cambodia,33,-20.0,0.0,0.75,-1.25
237,4,Cambodia,34,-20.0,0.0,0.875,-1.25
237,4,Cambodia,35,-20.0,-5.0,0.875,-6.25
237,4,Cambodia,44,20.0,0.0,0.5,12.75
238,4,Cambodia,1,5.0,0.0,0.5,4.25
238,4,Cambodia,2,10.0,0.0,0.5,7.75
238,4,Cambodia,3,20.0,0.0,0.5,12.75
238,4,Cambodia,4,30.0,0.0,0.5,15.75
238,4,Cambodia,5,30.0,10.0,0.5,10.25
238,4,Cambodia,6,30.0,20.0,0.5,25.25
238,4,Cambodia,7,20.0,0.0,0.125,0.25
238,4,Cambodia,8,20.0,5.0,0.125,5.25
238,4,Cambodia,9,20.0,0.0,0.25,0.25
238,4,Cambodia,10,20.0,0.0,0.375,0.25
238,4,Cambodia,11,20.0,0.0,0.625,15.75
238,4,Cambodia,12,20.0,0.0,0.75,17.75
238,4,Cambodia,13,20.0,0.0,0.875,18.75
238,4,Cambodia,14,20.0,5.0,0.875,18.75
238,4,Cambodia,23,-5.0,0.0,0.5,-1.75
238,4,Cambodia,24,-10.0,0.0,0.5,-2.25
238,4,Cambodia,25,-20.0,0.0,0.5,-2.75
238,4,Cambodia,26,-20.0,-5.0,0.5,-7.75
238,4,Cambodia,27,-20.0,-10.0,0.5,-11.75
238,4,Cambodia,28,-20.0,0.0,0.125,-2.25
238,4,Cambodia,29,-20.0,-5.0,0.125,-19.25
238,4,Cambodia,30,-20.0,0.0,0.25,-18.75
238,4,Cambodia,31,-20.0,0.0,0.375,-18.25
238,4,Cambodia,32,-20.0,0.0,0.625,-2.25
238,4,Cambodia,33,-20.0,0.0,0.75,-2.25
238,4,Cambodia,34,-20.0,0.0,0.875,-2.25
238,4,Cambodia,35,-20.0,-5.0,0.875,-5.75
238,4,Cambodia,44,20.0,0.0,0.5,16.75
