subject,country,country_name,lottery,z1,z2,p1,ce
317,5,Chile,1,5.0,0.0,0.5,1.25
317,5,Chile,2,10.0,0.0,0.5,1.75
317,5,Chile,3,20.0,0.0,0.5,2.25
317,5,Chile,4,30.0,0.0,0.5,5.25
317,5,Chile,5,30.0,10.0,0.5,10.25
317,5,Chile,6,30.0,20.0,0.5,20.25
317,5,Chile,7,20.0,0.0,0.125,0.75
317,5,Chile,8,20.0,5.0,0.125,5.25
317,5,Chile,9,20.0,0.0,0.25,1.75
317,5,Chile,10,20.0,0.0,0.375,1.75
317,5,Chile,11,20.0,0.0,0.625,2.25
317,5,Chile,12,20.0,0.0,0.75,3.25
317,5,Chile,13,20.0,0.0,0.875,12.25
317,5,Chile,14,20.0,5.0,0.875,12.25
317,5,Chile,23,-5.0,0.0,0.5,-3.25
317,5,Chile,24,-10.0,0.0,0.5,-5.25
317,5,Chile,25,-20.0,0.0,0.5,-6.75
317,5,Chile,26,-20.0,-5.0,0.5,-7.25
317,5,Chile,27,-20.0,-10.0,0.5,-10.25
317,5,Chile,28,-20.0,0.0,0.125,-0.25
317,5,Chile,29,-20.0,-5.0,0.125,-5.25
317,5,Chile,30,-20.0,0.0,0.25,-0.25
317,5,Chile,31,-20.0,0.0,0.375,-2.25
317,5,Chile,32,-20.0,0.0,0.625,-6.25
317,5,Chile,33,-20.0,0.0,0.75,-8.75
317,5,Chile,34,-20.0,0.0,0.875,-18.25
317,5,Chile,35,-20.0,-5.0,0.875,-13.75
317,5,Chile,44,20.0,0.0,0.5,13.75
318,5,Chile,1,5.0,0.0,0.5,2.75
318,5,Chile,2,10.0,0.0,0.5,3.75
318,5,Chile,3,20.0,0.0,0.5,8.25
318,5,Chile,4,30.0,0.0,0.5,9.75
318,5,Chile,5,30.0,10.0,0.5,17.75
318,5,Chile,6,30.0,20.0,0.5,26.25
318,5,Chile,7,20.0,0.0,0.125,4.25
318,5,Chile,8,20.0,5.0,0.125,5.75
318,5,Chile,9,20.0,0.0,0.25,3.75
318,5,Chile,10,20.0,0.0,0.375,6.25
318,5,Chile,11,20.0,0.0,0.625,9.75
318,5,Chile,12,20.0,0.0,0.75,12.25
318,5,Chile,13,20.0,0.0,0.875,15.75
318,5,Chile,14,20.0,5.0,0.875,17.75
318,5,Chile,23,-5.0,0.0,0.5,-3.25
318,5,Chile,24,-10.0,0.0,0.5,-6.25
318,5,Chile,25,-20.0,0.0,0.5,-14.25
318,5,Chile,26,-20.0,-5.0,0.5,-13.75
318,5,Chile,27,-20.0,-10.0,0.5,-14.25
318,5,Chile,28,-20.0,0.0,0.125,-7.25
