subject,country,country_name,lottery,z1,z2,p1,ce
413,6,China,1,5.0,0.0,0.5,2.25
413,6,China,2,10.0,0.0,0.5,4.25
413,6,China,3,20.0,0.0,0.5,9.25
413,6,China,4,30.0,0.0,0.5,13.75
413,6,China,5,30.0,10.0,0.5,15.25
413,6,China,6,30.0,20.0,0.5,25.25
413,6,China,7,20.0,0.0,0.125,4.75
413,6,China,8,20.0,5.0,0.125,9.25
413,6,China,9,20.0,0.0,0.25,2.75
413,6,China,10,20.0,0.0,0.375,7.25
413,6,China,11,20.0,0.0,0.625,9.25
413,6,China,12,20.0,0.0,0.75,12.75
413,6,China,13,20.0,0.0,0.875,16.25
413,6,China,14,20.0,5.0,0.875,17.75
413,6,China,23,-5.0,0.0,0.5,-3.25
413,6,China,24,-10.0,0.0,0.5,-5.25
413,6,China,25,-20.0,0.0,0.5,-9.25
413,6,China,26,-20.0,-5.0,0.5,-12.75
413,6,China,27,-20.0,-10.0,0.5,-15.75
413,6,China,28,-20.0,0.0,0.125,-2.25
413,6,China,29,-20.0,-5.0,0.125,-9.75
413,6,China,30,-20.0,0.0,0.25,-5.75
413,6,China,31,-20.0,0.0,0.375,-6.75
413,6,China,32,-20.0,0.0,0.625,-11.25
413,6,China,33,-20.0,0.0,0.75,-13.75
413,6,China,34,-20.0,0.0,0.875,-16.75
413,6,China,35,-20.0,-5.0,0.875,-13.25
413,6,China,44,20.0,0.0,0.5,6.75
414,6,China,1,5.0,0.0,0.5,2.25
414,6,China,2,10.0,0.0,0.5,4.75
414,6,China,3,20.0,0.0,0.5,10.25
414,6,China,4,30.0,0.0,0.5,14.75
414,6,China,5,30.0,10.0,0.5,16.75
414,6,China,6,30.0,20.0,0.5,29.75
414,6,China,7,20.0,0.0,0.125,0.25
414,6,China,8,20.0,5.0,0.125,5.25
414,6,China,9,20.0,0.0,0.25,4.25
414,6,China,10,20.0,0.0,0.375,5.25
414,6,China,11,20.0,0.0,0.625,8.75
414,6,China,12,20.0,0.0,0.75,12.75
414,6,China,13,20.0,0.0,0.875,17.25
414,6,China,14,20.0,5.0,0.875,14.25
414,6,China,23,-5.0,0.0,0.5,-4.75
414,6,China,24,-10.0,0.0,0.5,-6.25
414,6,China,25,-20.0,0.0,0.5,-15.25
414,6,China,26,-20.0,-5.0,0.5,-15.25
414,6,China,27,-20.0,-10.0,0.5,-14.25
414,6,China,28,-20.0,0.0,0.125,-4.25
414,6,China,29,-20.0,-5.0,0.125,-5.25
414,6,China,30,-20.0,0.0,0.25,-5.25
414,6,China,31,-20.0,0.0,0.375,-7.75
414,6,China,32,-20.0,0.0,0.625,-17.75
414,6,China,33,-20.0,0.0,0.75,-19.75
414,6,China,34,-20.0,0.0,0.875,-19.75
414,6,China,35,-20.0,-5.0,0.875,-19.75
414,6,China,44,20.0,0.0,0.5,7.75
415,6,China,1,5.0,0.0,0.5,4.75
415,6,China,2,10.0,0.0,0.5,7.75
415,6,China,3,20.0,0.0,0.5,0.25
415,6,China,4,30.0,0.0,0.5,17.75
415,6,China,5,30.0,10.0,0.5,10.25
415,6,China,6,30.0,20.0,0.5,20.25
415,6,China,7,20.0,0.0,0.125,19.75
415,6,China,8,20.0,5.0,0.125,17.25
415,6,China,9,20.0,0.0,0.25,12.75
415,6,China,10,20.0,0.0,0.375,17.75
415,6,China,11,20.0,0.0,0.625,12.75
415,6,China,12,20.0,0.0,0.75,14.75
415,6,China,13,20.0,0.0,0.875,19.75
415,6,China,14,20.0,5.0,0.875,19.75
415,6,China,23,-5.0,0.0,0.5,-4.75
415,6,China,24,-10.0,0.0,0.5,-2.75
415,6,China,25,-20.0,0.0,0.5,-19.75
415,6,China,26,-20.0,-5.0,0.5,-14.75
415,6,China,27,-20.0,-10.0,0.5,-17.25
415,6,China,28,-20.0,0.0,0.125,-10.25
415,6,China,29,-20.0,-5.0,0.125,-7.75
415,6,China,30,-20.0,0.0,0.25,-2.75
415,6,China,31,-20.0,0.0,0.375,-0.25
415,6,China,32,-20.0,0.0,0.625,-17.25
415,6,China,33,-20.0,0.0,0.75,-17.75
415,6,China,34,-20.0,0.0,0.875,-19.75
415,6,China,35,-20.0,-5.0,0.875,-15.25
415,6,China,44,20.0,0.0,0.5,11.75
416,6,China,1,5.0,0.0,0.5,2.25
416,6,China,2,10.0,0.0,0.5,2.75
416,6,China,3,20.0,0.0,0.5,10.25
416,6,China,4,30.0,0.0,0.5,12.75
416,6,China,5,30.0,10.0,0.5,17.75
416,6,China,6,30.0,20.0,0.5,25.25
416,6,China,7,20.0,0.0,0.125,5.25
416,6,China,8,20.0,5.0,0.125,7.75
416,6,China,9,20.0,0.0,0.25,5.25
416,6,China,10,20.0,0.0,0.375,7.75
416,6,China,11,20.0,0.0,0.625,10.25
416,6,China,12,20.0,0.0,0.75,14.75
416,6,China,13,20.0,0.0,0.875,15.25
416,6,China,14,20.0,5.0,0.875,17.75
416,6,China,23,-5.0,0.0,0.5,-4.75
416,6,China,24,-10.0,0.0,0.5,-7.75
416,6,China,25,-20.0,0.0,0.5,-12.75
416,6,China,26,-20.0,-5.0,0.5,-15.25
416,6,China,27,-20.0,-10.0,0.5,-15.25
416,6,China,28,-20.0,0.0,0.125,-7.75
416,6,China,29,-20.0,-5.0,0.125,-12.75
416,6,China,30,-20.0,0.0,0.25,-12.75
416,6,China,31,-20.0,0.0,0.375,-12.75
416,6,China,32,-20.0,0.0,0.625,-15.25
416,6,China,33,-20.0,0.0,0.75,-17.75
416,6,China,34,-20.0,0.0,0.875,-17.75
416,6,China,35,-20.0,-5.0,0.875,-17.75
416,6,China,44,20.0,0.0,0.5,20.25
417,6,China,1,5.0,0.0,0.5,2.75
417,6,China,2,10.0,0.0,0.5,3.25
417,6,China,3,20.0,0.0,0.5,7.75
417,6,China,4,30.0,0.0,0.5,9.75
417,6,China,5,30.0,10.0,0.5,12.75
417,6,China,6,30.0,20.0,0.5,22.75
417,6,China,7,20.0,0.0,0.125,5.25
417,6,China,8,20.0,5.0,0.125,12.75
417,6,China,9,20.0,0.0,0.25,10.25
417,6,China,10,20.0,0.0,0.375,10.25
417,6,China,11,20.0,0.0,0.625,15.25
417,6,China,12,20.0,0.0,0.75,16.25
417,6,China,13,20.0,0.0,0.875,17.75
417,6,China,14,20.0,5.0,0.875,17.75
417,6,China,23,-5.0,0.0,0.5,-2.25
417,6,China,24,-10.0,0.0,0.5,-3.75
417,6,China,25,-20.0,0.0,0.5,-2.75
417,6,China,26,-20.0,-5.0,0.5,-17.75
417,6,China,27,-20.0,-10.0,0.5,-12.25
417,6,China,28,-20.0,0.0,0.125,-10.25
417,6,China,29,-20.0,-5.0,0.125,-12.75
417,6,China,30,-20.0,0.0,0.25,-13.75
417,6,China,31,-20.0,0.0,0.375,-10.75
417,6,China,32,-20.0,0.0,0.625,-8.25
417,6,China,33,-20.0,0.0,0.75,-7.75
417,6,China,34,-20.0,0.0,0.875,-7.25
417,6,China,35,-20.0,-5.0,0.875,-7.25
417,6,China,44,20.0,0.0,0.5,20.25
418,6,China,1,5.0,0.0,0.5,2.25
418,6,China,2,10.0,0.0,0.5,5.25
418,6,China,3,20.0,0.0,0.5,10.25
418,6,China,4,30.0,0.0,0.5,15.25
418,6,China,5,30.0,10.0,0.5,20.25
418,6,China,6,30.0,20.0,0.5,25.25
418,6,China,7,20.0,0.0,0.125,2.75
418,6,China,8,20.0,5.0,0.125,7.75
418,6,China,9,20.0,0.0,0.25,5.25
418,6,China,10,20.0,0.0,0.375,7.75
418,6,China,11,20.0,0.0,0.625,12.75
418,6,China,12,20.0,0.0,0.75,15.25
418,6,China,13,20.0,0.0,0.875,17.25
418,6,China,14,20.0,5.0,0.875,17.75
418,6,China,23,-5.0,0.0,0.5,-0.25
418,6,China,24,-10.0,0.0,0.5,-4.75
418,6,China,25,-20.0,0.0,0.5,-10.25
418,6,China,26,-20.0,-5.0,0.5,-12.75
418,6,China,27,-20.0,-10.0,0.5,-15.25
418,6,China,28,-20.0,0.0,0.125,-2.75
418,6,China,29,-20.0,-5.0,0.125,-8.25
418,6,China,30,-20.0,0.0,0.25,-5.25
418,6,China,31,-20.0,0.0,0.375,-7.25
418,6,China,32,-20.0,0.0,0.625,-12.75
418,6,China,33,-20.0,0.0,0.75,-13.25
418,6,China,34,-20.0,0.0,0.875,-17.75
418,6,China,35,-20.0,-5.0,0.875,-17.75
418,6,China,44,20.0,0.0,0.5,2.75
419,6,China,1,5.0,0.0,0.5,0.25
419,6,China,2,10.0,0.0,0.5,0.25
419,6,China,3,20.0,0.0,0.5,19.75
419,6,China,4,30.0,0.0,0.5,5.25
419,6,China,5,30.0,10.0,0.5,10.25
419,6,China,6,30.0,20.0,0.5,20.25
419,6,China,7,20.0,0.0,0.125,0.25
419,6,China,8,20.0,5.0,0.125,5.25
419,6,China,9,20.0,0.0,0.25,0.25
419,6,China,10,20.0,0.0,0.375,0.25
419,6,China,11,20.0,0.0,0.625,19.75
419,6,China,12,20.0,0.0,0.75,19.75
419,6,China,13,20.0,0.0,0.875,12.25
419,6,China,14,20.0,5.0,0.875,19.75
419,6,China,23,-5.0,0.0,0.5,-0.25
419,6,China,24,-10.0,0.0,0.5,-3.75
419,6,China,25,-20.0,0.0,0.5,-9.25
419,6,China,26,-20.0,-5.0,0.5,-8.75
419,6,China,27,-20.0,-10.0,0.5,-15.25
419,6,China,28,-20.0,0.0,0.125,-10.25
419,6,China,29,-20.0,-5.0,0.125,-5.25
419,6,China,30,-20.0,0.0,0.25,-12.75
419,6,China,31,-20.0,0.0,0.375,-12.75
419,6,China,32,-20.0,0.0,0.625,-10.25
419,6,China,33,-20.0,0.0,0.75,-15.75
419,6,China,34,-20.0,0.0,0.875,-19.75
419,6,China,35,-20.0,-5.0,0.875,-15.75
419,6,China,44,20.0,0.0,0.5,8.75
420,6,China,1,5.0,0.0,0.5,2.75
420,6,China,2,10.0,0.0,0.5,6.25
420,6,China,3,20.0,0.0,0.5,11.75
420,6,China,4,30.0,0.0,0.5,14.75
420,6,China,5,30.0,10.0,0.5,19.75
420,6,China,6,30.0,20.0,0.5,22.25
420,6,China,7,20.0,0.0,0.125,9.75
420,6,China,8,20.0,5.0,0.125,9.75
420,6,China,9,20.0,0.0,0.25,9.75
420,6,China,10,20.0,0.0,0.375,9.75
420,6,China,11,20.0,0.0,0.625,9.75
420,6,China,12,20.0,0.0,0.75,14.75
420,6,China,13,20.0,0.0,0.875,19.25
420,6,China,14,20.0,5.0,0.875,19.25
420,6,China,23,-5.0,0.0,0.5,-4.25
420,6,China,24,-10.0,0.0,0.5,-4.75
420,6,China,25,-20.0,0.0,0.5,-7.25
420,6,China,26,-20.0,-5.0,0.5,-7.25
420,6,China,27,-20.0,-10.0,0.5,-10.25
420,6,China,28,-20.0,0.0,0.125,-12.25
420,6,China,29,-20.0,-5.0,0.125,-14.75
420,6,China,30,-20.0,0.0,0.25,-7.25
420,6,China,31,-20.0,0.0,0.375,-12.25
420,6,China,32,-20.0,0.0,0.625,-14.75
420,6,China,33,-20.0,0.0,0.75,-17.25
420,6,China,34,-20.0,0.0,0.875,-17.25
420,6,China,35,-20.0,-5.0,0.875,-17.25
420,6,China,44,20.0,0.0,0.5,5.75
421,6,China,1,5.0,0.0,0.5,2.25
421,6,China,2,10.0,0.0,0.5,4.75
421,6,China,3,20.0,0.0,0.5,9.75
421,6,China,4,30.0,0.0,0.5,14.75
421,6,China,5,30.0,10.0,0.5,19.75
421,6,China,6,30.0,20.0,0.5,27.25
421,6,China,7,20.0,0.0,0.125,4.75
421,6,China,8,20.0,5.0,0.125,12.75
421,6,China,9,20.0,0.0,0.25,7.25
421,6,China,10,20.0,0.0,0.375,7.75
421,6,China,11,20.0,0.0,0.625,9.75
421,6,China,12,20.0,0.0,0.75,12.75
421,6,China,13,20.0,0.0,0.875,17.75
421,6,China,14,20.0,5.0,0.875,14.75
421,6,China,23,-5.0,0.0,0.5,-2.75
421,6,China,24,-10.0,0.0,0.5,-6.25
421,6,China,25,-20.0,0.0,0.5,-10.25
421,6,China,26,-20.0,-5.0,0.5,-12.75
421,6,China,27,-20.0,-10.0,0.5,-15.25
421,6,China,28,-20.0,0.0,0.125,-2.75
421,6,China,29,-20.0,-5.0,0.125,-10.25
421,6,China,30,-20.0,0.0,0.25,-7.75
421,6,China,31,-20.0,0.0,0.375,-10.25
421,6,China,32,-20.0,0.0,0.625,-12.75
421,6,China,33,-20.0,0.0,0.75,-15.25
421,6,China,34,-20.0,0.0,0.875,-17.75
421,6,China,35,-20.0,-5.0,0.875,-12.75
421,6,China,44,20.0,0.0,0.5,10.75
422,6,China,1,5.0,0.0,0.5,3.75
422,6,China,2,10.0,0.0,0.5,7.25
422,6,China,3,20.0,0.0,0.5,12.25
422,6,China,4,30.0,0.0,0.5,20.25
422,6,China,5,30.0,10.0,0.5,25.25
422,6,China,6,30.0,20.0,0.5,25.25
422,6,China,7,20.0,0.0,0.125,10.25
422,6,China,8,20.0,5.0,0.125,10.25
422,6,China,9,20.0,0.0,0.25,7.75
422,6,China,10,20.0,0.0,0.375,10.25
422,6,China,11,20.0,0.0,0.625,15.25
422,6,China,12,20.0,0.0,0.75,12.75
422,6,China,13,20.0,0.0,0.875,17.75
422,6,China,14,20.0,5.0,0.875,15.25
422,6,China,23,-5.0,0.0,0.5,-3.25
422,6,China,24,-10.0,0.0,0.5,-5.25
422,6,China,25,-20.0,0.0,0.5,-10.25
422,6,China,26,-20.0,-5.0,0.5,-10.25
422,6,China,27,-20.0,-10.0,0.5,-15.25
422,6,China,28,-20.0,0.0,0.125,-5.25
422,6,China,29,-20.0,-5.0,0.125,-10.25
422,6,China,30,-20.0,0.0,0.25,-7.75
422,6,China,31,-20.0,0.0,0.375,-11.75
422,6,China,32,-20.0,0.0,0.625,-12.75
422,6,China,33,-20.0,0.0,0.75,-15.25
422,6,China,34,-20.0,0.0,0.875,-15.25
422,6,China,35,-20.0,-5.0,0.875,-17.75
422,6,China,44,20.0,0.0,0.5,10.75
423,6,China,1,5.0,0.0,0.5,2.75
423,6,China,2,10.0,0.0,0.5,5.25
423,6,China,3,20.0,0.0,0.5,6.25
423,6,China,4,30.0,0.0,0.5,11.75
423,6,China,5,30.0,10.0,0.5,19.75
423,6,China,6,30.0,20.0,0.5,29.75
423,6,China,7,20.0,0.0,0.125,6.25
423,6,China,8,20.0,5.0,0.125,8.25
423,6,China,9,20.0,0.0,0.25,2.25
423,6,China,10,20.0,0.0,0.375,3.25
423,6,China,11,20.0,0.0,0.625,5.75
423,6,China,12,20.0,0.0,0.75,7.75
423,6,China,13,20.0,0.0,0.875,11.25
423,6,China,14,20.0,5.0,0.875,12.75
423,6,China,23,-5.0,0.0,0.5,-3.25
423,6,China,24,-10.0,0.0,0.5,-7.75
423,6,China,25,-20.0,0.0,0.5,-11.25
423,6,China,26,-20.0,-5.0,0.5,-12.25
423,6,China,27,-20.0,-10.0,0.5,-12.25
423,6,China,28,-20.0,0.0,0.125,-5.25
423,6,China,29,-20.0,-5.0,0.125,-9.75
423,6,China,30,-20.0,0.0,0.25,-5.75
423,6,China,31,-20.0,0.0,0.375,-7.25
423,6,China,32,-20.0,0.0,0.625,-8.75
423,6,China,33,-20.0,0.0,0.75,-14.75
423,6,China,34,-20.0,0.0,0.875,-16.25
423,6,China,35,-20.0,-5.0,0.875,-18.25
423,6,China,44,20.0,0.0,0.5,20.25
424,6,China,1,5.0,0.0,0.5,2.25
424,6,China,2,10.0,0.0,0.5,4.75
424,6,China,3,20.0,0.0,0.5,7.25
424,6,China,4,30.0,0.0,0.5,12.25
424,6,China,5,30.0,10.0,0.5,19.75
424,6,China,6,30.0,20.0,0.5,24.75
424,6,China,7,20.0,0.0,0.125,2.25
424,6,China,8,20.0,5.0,0.125,9.75
424,6,China,9,20.0,0.0,0.25,2.25
424,6,China,10,20.0,0.0,0.375,4.75
424,6,China,11,20.0,0.0,0.625,7.25
424,6,China,12,20.0,0.0,0.75,9.75
424,6,China,13,20.0,0.0,0.875,12.25
424,6,China,14,20.0,5.0,0.875,17.25
424,6,China,23,-5.0,0.0,0.5,-2.75
424,6,China,24,-10.0,0.0,0.5,-7.25
424,6,China,25,-20.0,0.0,0.5,-15.25
424,6,China,26,-20.0,-5.0,0.5,-14.75
424,6,China,27,-20.0,-10.0,0.5,-17.25
424,6,China,28,-20.0,0.0,0.125,-7.25
424,6,China,29,-20.0,-5.0,0.125,-10.25
424,6,China,30,-20.0,0.0,0.25,-9.75
424,6,China,31,-20.0,0.0,0.375,-12.25
424,6,China,32,-20.0,0.0,0.625,-12.25
424,6,China,33,-20.0,0.0,0.75,-14.75
424,6,China,34,-20.0,0.0,0.875,-16.75
424,6,China,35,-20.0,-5.0,0.875,-17.25
424,6,China,44,20.0,0.0,0.5,15.75
