subject,country,country_name,lottery,z1,z2,p1,ce
617,7,Colombia,1,5.0,0.0,0.5,1.75
617,7,Colombia,2,10.0,0.0,0.5,3.75
617,7,Colombia,3,20.0,0.0,0.5,3.75
617,7,Colombia,4,30.0,0.0,0.5,9.75
617,7,Colombia,5,30.0,10.0,0.5,13.25
617,7,Colombia,6,30.0,20.0,0.5,20.25
617,7,Colombia,7,20.0,0.0,0.125,3.75
617,7,Colombia,9,20.0,0.0,0.25,3.75
617,7,Colombia,10,20.0,0.0,0.375,1.75
617,7,Colombia,11,20.0,0.0,0.625,1.75
617,7,Colombia,12,20.0,0.0,0.75,5.75
617,7,Colombia,13,20.0,0.0,0.875,7.75
617,7,Colombia,23,-5.0,0.0,0.5,-2.25
617,7,Colombia,24,-10.0,0.0,0.5,-5.25
617,7,Colombia,25,-20.0,0.0,0.5,-12.25
617,7,Colombia,26,-20.0,-5.0,0.5,-12.25
617,7,Colombia,27,-20.0,-10.0,0.5,-15.75
617,7,Colombia,28,-20.0,0.0,0.125,-4.25
617,7,Colombia,30,-20.0,0.0,0.25,-4.25
617,7,Colombia,31,-20.0,0.0,0.375,-5.75
617,7,Colombia,32,-20.0,0.0,0.625,-12.25
617,7,Colombia,33,-20.0,0.0,0.75,-17.25
617,7,Colombia,34,-20.0,0.0,0.875,-17.25
617,7,Colombia,44,20.0,0.0,0.5,9.25
618,7,Colombia,1,5.0,0.0,0.5,1.75
618,7,Colombia,2,10.0,0.0,0.5,3.75
618,7,Colombia,3,20.0,0.0,0.5,3.75
618,7,Colombia,4,30.0,0.0,0.5,5.75
618,7,Colombia,5,30.0,10.0,0.5,10.25
618,7,Colombia,6,30.0,20.0,0.5,20.25
618,7,Colombia,7,20.0,0.0,0.125,2.25
618,7,Colombia,9,20.0,0.0,0.25,2.25
618,7,Colombia,10,20.0,0.0,0.375,2.25
618,7,Colombia,11,20.0,0.0,0.625,4.75
618,7,Colombia,12,20.0,0.0,0.75,7.25
618,7,Colombia,13,20.0,0.0,0.875,11.75
618,7,Colombia,23,-5.0,0.0,0.5,-3.75
618,7,Colombia,24,-10.0,0.0,0.5,-4.75
618,7,Colombia,25,-20.0,0.0,0.5,-7.75
618,7,Colombia,26,-20.0,-5.0,0.5,-12.25
618,7,Colombia,27,-20.0,-10.0,0.5,-14.75
618,7,Colombia,28,-20.0,0.0,0.125,-3.75
618,7,Colombia,30,-20.0,0.0,0.25,-4.25
618,7,Colombia,31,-20.0,0.0,0.375,-7.25
618,7,Colombia,32,-20.0,0.0,0.625,-9.75
618,7,Colombia,33,-20.0,0.0,0.75,-12.75
618,7,Colombia,34,-20.0,0.0,0.875,-16.25
618,7,Colombia,44,20.0,0.0,0.5,6.25
619,7,Colombia,1,5.0,0.0,0.5,2.75
619,7,Colombia,2,10.0,0.0,0.5,5.75
619,7,Colombia,3,20.0,0.0,0.5,10.25
619,7,Colombia,4,30.0,0.0,0.5,12.75
619,7,Colombia,5,30.0,10.0,0.5,16.75
619,7,Colombia,6,30.0,20.0,0.5,22.75
619,7,Colombia,7,20.0,0.0,0.125,2.75
619,7,Colombia,9,20.0,0.0,0.25,2.75
619,7,Colombia,10,20.0,0.0,0.375,7.25
619,7,Colombia,11,20.0,0.0,0.625,12.25
619,7,Colombia,12,20.0,0.0,0.75,13.75
619,7,Colombia,13,20.0,0.0,0.875,15.25
619,7,Colombia,23,-5.0,0.0,0.5,-3.25
619,7,Colombia,24,-10.0,0.0,0.5,-6.25
619,7,Colombia,25,-20.0,0.0,0.5,-14.75
619,7,Colombia,26,-20.0,-5.0,0.5,-14.25
619,7,Colombia,27,-20.0,-10.0,0.5,-14.75
619,7,Colombia,28,-20.0,0.0,0.125,-3.25
619,7,Colombia,30,-20.0,0.0,0.25,-5.75
619,7,Colombia,31,-20.0,0.0,0.375,-11.75
619,7,Colombia,32,-20.0,0.0,0.625,-14.25
619,7,Colombia,33,-20.0,0.0,0.75,-16.25
619,7,Colombia,34,-20.0,0.0,0.875,-17.25
619,7,Colombia,44,20.0,0.0,0.5,11.25
620,7,Colombia,1,5.0,0.0,0.5,1.25
620,7,Colombia,2,10.0,0.0,0.5,2.25
620,7,Colombia,3,20.0,0.0,0.5,4.25
620,7,Colombia,4,30.0,0.0,0.5,8.25
620,7,Colombia,5,30.0,10.0,0.5,13.25
620,7,Colombia,6,30.0,20.0,0.5,20.25
620,7,Colombia,7,20.0,0.0,0.125,0.25
620,7,Colombia,9,20.0,0.0,0.25,0.25
620,7,Colombia,10,20.0,0.0,0.375,0.25
620,7,Colombia,11,20.0,0.0,0.625,6.25
620,7,Colombia,12,20.0,0.0,0.75,10.25
620,7,Colombia,13,20.0,0.0,0.875,15.25
620,7,Colombia,23,-5.0,0.0,0.5,-3.25
620,7,Colombia,24,-10.0,0.0,0.5,-5.75
620,7,Colombia,25,-20.0,0.0,0.5,-10.75
620,7,Colombia,26,-20.0,-5.0,0.5,-12.25
620,7,Colombia,27,-20.0,-10.0,0.5,-12.75
620,7,Colombia,28,-20.0,0.0,0.125,-2.75
620,7,Colombia,30,-20.0,0.0,0.25,-5.25
620,7,Colombia,31,-20.0,0.0,0.375,-6.75
