subject,country,country_name,lottery,z1,z2,p1,ce
745,8,Costa Rica,1,5.0,0.0,0.5,4.25
745,8,Costa Rica,2,10.0,0.0,0.5,8.75
745,8,Costa Rica,3,20.0,0.0,0.5,11.75
745,8,Costa Rica,4,30.0,0.0,0.5,19.75
745,8,Costa Rica,5,30.0,10.0,0.5,29.75
745,8,Costa Rica,6,30.0,20.0,0.5,21.25
745,8,Costa Rica,7,20.0,0.0,0.125,1.75
745,8,Costa Rica,8,20.0,5.0,0.125,9.75
745,8,Costa Rica,9,20.0,0.0,0.25,5.25
745,8,Costa Rica,10,20.0,0.0,0.375,5.25
745,8,Costa Rica,11,20.0,0.0,0.625,9.75
745,8,Costa Rica,12,20.0,0.0,0.75,15.75
745,8,Costa Rica,13,20.0,0.0,0.875,18.75
745,8,Costa Rica,14,20.0,5.0,0.875,17.75
745,8,Costa Rica,23,-5.0,0.0,0.5,-3.25
745,8,Costa Rica,24,-10.0,0.0,0.5,-7.75
745,8,Costa Rica,25,-20.0,0.0,0.5,-14.25
745,8,Costa Rica,26,-20.0,-5.0,0.5,-15.25
745,8,Costa Rica,27,-20.0,-10.0,0.5,-10.25
745,8,Costa Rica,28,-20.0,0.0,0.125,-4.25
745,8,Costa Rica,29,-20.0,-5.0,0.125,-6.25
745,8,Costa Rica,30,-20.0,0.0,0.25,-4.25
745,8,Costa Rica,31,-20.0,0.0,0.375,-5.25
745,8,Costa Rica,32,-20.0,0.0,0.625,-16.25
745,8,Costa Rica,33,-20.0,0.0,0.75,-18.25
745,8,Costa Rica,34,-20.0,0.0,0.875,-18.25
745,8,Costa Rica,35,-20.0,-5.0,0.875,-19.25
745,8,Costa Rica,44,20.0,0.0,0.5,9.75
746,8,Costa Rica,1,5.0,0.0,0.5,3.25
746,8,Costa Rica,2,10.0,0.0,0.5,6.25
746,8,Costa Rica,3,20.0,0.0,0.5,10.25
746,8,Costa Rica,4,30.0,0.0,0.5,16.25
746,8,Costa Rica,5,30.0,10.0,0.5,19.75
746,8,Costa Rica,6,30.0,20.0,0.5,22.25
746,8,Costa Rica,7,20.0,0.0,0.125,1.75
746,8,Costa Rica,8,20.0,5.0,0.125,7.75
746,8,Costa Rica,9,20.0,0.0,0.25,5.25
746,8,Costa Rica,10,20.0,0.0,0.375,5.25
746,8,Costa Rica,11,20.0,0.0,0.625,14.25
746,8,Costa Rica,12,20.0,0.0,0.75,16.75
746,8,Costa Rica,13,20.0,0.0,0.875,19.75
746,8,Costa Rica,14,20.0,5.0,0.875,19.75
746,8,Costa Rica,23,-5.0,0.0,0.5,-3.25
746,8,Costa Rica,24,-10.0,0.0,0.5,-6.25
746,8,Costa Rica,25,-20.0,0.0,0.5,-10.25
746,8,Costa Rica,26,-20.0,-5.0,0.5,-14.25
746,8,Costa Rica,27,-20.0,-10.0,0.5,-14.25
746,8,Costa Rica,28,-20.0,0.0,0.125,-3.75
746,8,Costa Rica,29,-20.0,-5.0,0.125,-8.25
746,8,Costa Rica,30,-20.0,0.0,0.25,-6.25
746,8,Costa Rica,31,-20.0,0.0,0.375,-6.25
746,8,Costa Rica,32,-20.0,0.0,0.625,-10.25
746,8,Costa Rica,33,-20.0,0.0,0.75,-12.25
746,8,Costa Rica,34,-20.0,0.0,0.875,-14.25
746,8,Costa Rica,35,-20.0,-5.0,0.875,-15.25
746,8,Costa Rica,44,20.0,0.0,0.5,11.75
747,8,Costa Rica,1,5.0,0.0,0.5,0.25
747,8,Costa Rica,2,10.0,0.0,0.5,6.75
747,8,Costa Rica,3,20.0,0.0,0.5,0.25
747,8,Costa Rica,4,30.0,0.0,0.5,5.25
747,8,Costa Rica,5,30.0,10.0,0.5,23.25
747,8,Costa Rica,6,30.0,20.0,0.5,20.25
747,8,Costa Rica,7,20.0,0.0,0.125,0.25
747,8,Costa Rica,8,20.0,5.0,0.125,5.25
747,8,Costa Rica,9,20.0,0.0,0.25,0.25
747,8,Costa Rica,10,20.0,0.0,0.375,0.25
747,8,Costa Rica,11,20.0,0.0,0.625,6.75
747,8,Costa Rica,12,20.0,0.0,0.75,10.25
747,8,Costa Rica,13,20.0,0.0,0.875,15.25
747,8,Costa Rica,14,20.0,5.0,0.875,19.75
747,8,Costa Rica,23,-5.0,0.0,0.5,-4.75
747,8,Costa Rica,24,-10.0,0.0,0.5,-9.75
747,8,Costa Rica,25,-20.0,0.0,0.5,-12.25
747,8,Costa Rica,26,-20.0,-5.0,0.5,-19.75
747,8,Costa Rica,27,-20.0,-10.0,0.5,-19.75
747,8,Costa Rica,28,-20.0,0.0,0.125,-4.25
747,8,Costa Rica,29,-20.0,-5.0,0.125,-19.75
747,8,Costa Rica,30,-20.0,0.0,0.25,-4.25
747,8,Costa Rica,31,-20.0,0.0,0.375,-19.75
747,8,Costa Rica,32,-20.0,0.0,0.625,-19.75
747,8,Costa Rica,33,-20.0,0.0,0.75,-19.75
747,8,Costa Rica,34,-20.0,0.0,0.875,-0.25
747,8,Costa Rica,35,-20.0,-5.0,0.875,-19.75
747,8,Costa Rica,44,20.0,0.0,0.5,20.25
748,8,Costa Rica,1,5.0,0.0,0.5,1.75
748,8,Costa Rica,2,10.0,0.0,0.5,3.75
748,8,Costa Rica,3,20.0,0.0,0.5,4.75
748,8,Costa Rica,4,30.0,0.0,0.5,5.25
748,8,Costa Rica,5,30.0,10.0,0.5,16.25
748,8,Costa Rica,6,30.0,20.0,0.5,20.25
748,8,Costa Rica,7,20.0,0.0,0.125,19.75
748,8,Costa Rica,8,20.0,5.0,0.125,5.25
748,8,Costa Rica,9,20.0,0.0,0.25,1.75
748,8,Costa Rica,10,20.0,0.0,0.375,1.75
748,8,Costa Rica,11,20.0,0.0,0.625,19.75
748,8,Costa Rica,12,20.0,0.0,0.75,9.75
748,8,Costa Rica,13,20.0,0.0,0.875,9.75
748,8,Costa Rica,14,20.0,5.0,0.875,19.75
748,8,Costa Rica,23,-5.0,0.0,0.5,-1.75
748,8,Costa Rica,24,-10.0,0.0,0.5,-3.75
748,8,Costa Rica,25,-20.0,0.0,0.5,-6.25
748,8,Costa Rica,26,-20.0,-5.0,0.5,-19.75
748,8,Costa Rica,27,-20.0,-10.0,0.5,-13.75
748,8,Costa Rica,28,-20.0,0.0,0.125,-0.25
748,8,Costa Rica,29,-20.0,-5.0,0.125,-5.75
748,8,Costa Rica,30,-20.0,0.0,0.25,-0.25
748,8,Costa Rica,31,-20.0,0.0,0.375,-3.75
748,8,Costa Rica,32,-20.0,0.0,0.625,-0.25
748,8,Costa Rica,33,-20.0,0.0,0.75,-19.75
748,8,Costa Rica,34,-20.0,0.0,0.875,-19.75
748,8,Costa Rica,35,-20.0,-5.0,0.875,-19.75
748,8,Costa Rica,44,20.0,0.0,0.5,10.75
749,8,Costa Rica,1,5.0,0.0,0.5,2.25
749,8,Costa Rica,2,10.0,0.0,0.5,3.25
749,8,Costa Rica,3,20.0,0.0,0.5,5.75
749,8,Costa Rica,4,30.0,0.0,0.5,7.25
749,8,Costa Rica,5,30.0,10.0,0.5,29.75
749,8,Costa Rica,6,30.0,20.0,0.5,21.25
749,8,Costa Rica,7,20.0,0.0,0.125,1.75
749,8,Costa Rica,8,20.0,5.0,0.125,6.75
749,8,Costa Rica,9,20.0,0.0,0.25,2.75
749,8,Costa Rica,10,20.0,0.0,0.375,2.75
749,8,Costa Rica,11,20.0,0.0,0.625,8.25
749,8,Costa Rica,12,20.0,0.0,0.75,8.25
749,8,Costa Rica,13,20.0,0.0,0.875,15.75
749,8,Costa Rica,14,20.0,5.0,0.875,18.25
749,8,Costa Rica,23,-5.0,0.0,0.5,-3.25
749,8,Costa Rica,24,-10.0,0.0,0.5,-7.25
749,8,Costa Rica,25,-20.0,0.0,0.5,-10.25
749,8,Costa Rica,26,-20.0,-5.0,0.5,-8.25
749,8,Costa Rica,27,-20.0,-10.0,0.5,-12.75
749,8,Costa Rica,28,-20.0,0.0,0.125,-1.75
749,8,Costa Rica,29,-20.0,-5.0,0.125,-5.75
749,8,Costa Rica,30,-20.0,0.0,0.25,-1.75
749,8,Costa Rica,31,-20.0,0.0,0.375,-6.25
749,8,Costa Rica,32,-20.0,0.0,0.625,-11.75
749,8,Costa Rica,33,-20.0,0.0,0.75,-15.75
749,8,Costa Rica,34,-20.0,0.0,0.875,-16.75
749,8,Costa Rica,35,-20.0,-5.0,0.875,-17.25
749,8,Costa Rica,44,20.0,0.0,0.5,10.75
750,8,Costa Rica,1,5.0,0.0,0.5,2.25
750,8,Costa Rica,2,10.0,0.0,0.5,4.25
750,8,Costa Rica,3,20.0,0.0,0.5,9.75
750,8,Costa Rica,4,30.0,0.0,0.5,11.75
750,8,Costa Rica,5,30.0,10.0,0.5,19.75
750,8,Costa Rica,6,30.0,20.0,0.5,24.75
750,8,Costa Rica,7,20.0,0.0,0.125,1.75
750,8,Costa Rica,8,20.0,5.0,0.125,6.25
750,8,Costa Rica,9,20.0,0.0,0.25,1.75
750,8,Costa Rica,10,20.0,0.0,0.375,4.25
750,8,Costa Rica,11,20.0,0.0,0.625,9.75
750,8,Costa Rica,12,20.0,0.0,0.75,11.75
750,8,Costa Rica,13,20.0,0.0,0.875,13.75
750,8,Costa Rica,14,20.0,5.0,0.875,13.75
750,8,Costa Rica,23,-5.0,0.0,0.5,-2.75
750,8,Costa Rica,24,-10.0,0.0,0.5,-6.25
750,8,Costa Rica,25,-20.0,0.0,0.5,-9.75
750,8,Costa Rica,26,-20.0,-5.0,0.5,-12.25
750,8,Costa Rica,27,-20.0,-10.0,0.5,-15.25
750,8,Costa Rica,28,-20.0,0.0,0.125,-4.25
750,8,Costa Rica,29,-20.0,-5.0,0.125,-8.25
750,8,Costa Rica,30,-20.0,0.0,0.25,-9.75
750,8,Costa Rica,31,-20.0,0.0,0.375,-11.75
750,8,Costa Rica,32,-20.0,0.0,0.625,-15.75
750,8,Costa Rica,33,-20.0,0.0,0.75,-16.75
750,8,Costa Rica,34,-20.0,0.0,0.875,-17.75
750,8,Costa Rica,35,-20.0,-5.0,0.875,-17.75
750,8,Costa Rica,44,20.0,0.0,0.5,8.75
751,8,Costa Rica,1,5.0,0.0,0.5,1.75
751,8,Costa Rica,2,10.0,0.0,0.5,1.75
751,8,Costa Rica,3,20.0,0.0,0.5,3.75
751,8,Costa Rica,4,30.0,0.0,0.5,8.75
751,8,Costa Rica,5,30.0,10.0,0.5,15.75
751,8,Costa Rica,6,30.0,20.0,0.5,23.25
751,8,Costa Rica,7,20.0,0.0,0.125,4.25
751,8,Costa Rica,8,20.0,5.0,0.125,7.75
751,8,Costa Rica,9,20.0,0.0,0.25,4.75
751,8,Costa Rica,10,20.0,0.0,0.375,3.75
751,8,Costa Rica,11,20.0,0.0,0.625,9.25
751,8,Costa Rica,12,20.0,0.0,0.75,8.25
751,8,Costa Rica,13,20.0,0.0,0.875,9.75
751,8,Costa Rica,14,20.0,5.0,0.875,9.75
751,8,Costa Rica,23,-5.0,0.0,0.5,-2.75
751,8,Costa Rica,24,-10.0,0.0,0.5,-6.25
751,8,Costa Rica,25,-20.0,0.0,0.5,-9.75
751,8,Costa Rica,26,-20.0,-5.0,0.5,-10.25
