subject,country,country_name,lottery,z1,z2,p1,ce
851,9,Czech Republic,1,5.0,0.0,0.5,2.25
851,9,Czech Republic,2,10.0,0.0,0.5,4.75
851,9,Czech Republic,3,20.0,0.0,0.5,9.75
851,9,Czech Republic,4,30.0,0.0,0.5,14.75
851,9,Czech Republic,5,30.0,10.0,0.5,19.75
851,9,Czech Republic,6,30.0,20.0,0.5,24.75
851,9,Czech Republic,7,20.0,0.0,0.125,2.25
851,9,Czech Republic,8,20.0,5.0,0.125,5.25
851,9,Czech Republic,9,20.0,0.0,0.25,4.75
851,9,Czech Republic,10,20.0,0.0,0.375,7.25
851,9,Czech Republic,11,20.0,0.0,0.625,12.25
851,9,Czech Republic,12,20.0,0.0,0.75,14.75
851,9,Czech Republic,13,20.0,0.0,0.875,17.25
851,9,Czech Republic,14,20.0,5.0,0.875,18.25
851,9,Czech Republic,23,-5.0,0.0,0.5,-2.75
851,9,Czech Republic,24,-10.0,0.0,0.5,-5.25
851,9,Czech Republic,25,-20.0,0.0,0.5,-10.25
851,9,Czech Republic,26,-20.0,-5.0,0.5,-12.75
851,9,Czech Republic,27,-20.0,-10.0,0.5,-15.25
851,9,Czech Republic,28,-20.0,0.0,0.125,-2.75
851,9,Czech Republic,29,-20.0,-5.0,0.125,-7.25
851,9,Czech Republic,30,-20.0,0.0,0.25,-5.25
851,9,Czech Republic,31,-20.0,0.0,0.375,-7.75
851,9,Czech Republic,32,-20.0,0.0,0.625,-12.75
851,9,Czech Republic,33,-20.0,0.0,0.75,-15.25
851,9,Czech Republic,34,-20.0,0.0,0.875,-17.75
851,9,Czech Republic,35,-20.0,-5.0,0.875,-18.25
851,9,Czech Republic,44,20.0,0.0,0.5,19.75
852,9,Czech Republic,1,5.0,0.0,0.5,2.75
852,9,Czech Republic,2,10.0,0.0,0.5,6.25
852,9,Czech Republic,3,20.0,0.0,0.5,11.75
852,9,Czech Republic,4,30.0,0.0,0.5,18.25
852,9,Czech Republic,5,30.0,10.0,0.5,21.25
852,9,Czech Republic,6,30.0,20.0,0.5,26.75
852,9,Czech Republic,7,20.0,0.0,0.125,3.25
852,9,Czech Republic,8,20.0,5.0,0.125,8.25
852,9,Czech Republic,9,20.0,0.0,0.25,4.25
852,9,Czech Republic,10,20.0,0.0,0.375,6.75
852,9,Czech Republic,11,20.0,0.0,0.625,10.25
852,9,Czech Republic,12,20.0,0.0,0.75,11.75
852,9,Czech Republic,13,20.0,0.0,0.875,14.75
852,9,Czech Republic,14,20.0,5.0,0.875,15.75
852,9,Czech Republic,23,-5.0,0.0,0.5,-2.25
852,9,Czech Republic,24,-10.0,0.0,0.5,-4.25
852,9,Czech Republic,25,-20.0,0.0,0.5,-8.25
852,9,Czech Republic,26,-20.0,-5.0,0.5,-11.25
852,9,Czech Republic,27,-20.0,-10.0,0.5,-12.25
852,9,Czech Republic,28,-20.0,0.0,0.125,-0.25
852,9,Czech Republic,29,-20.0,-5.0,0.125,-5.25
852,9,Czech Republic,30,-20.0,0.0,0.25,-0.25
852,9,Czech Republic,31,-20.0,0.0,0.375,-5.25
852,9,Czech Republic,32,-20.0,0.0,0.625,-13.25
852,9,Czech Republic,33,-20.0,0.0,0.75,-14.75
852,9,Czech Republic,34,-20.0,0.0,0.875,-14.75
852,9,Czech Republic,35,-20.0,-5.0,0.875,-14.75
852,9,Czech Republic,44,20.0,0.0,0.5,12.75
