subject,country,country_name,lottery,z1,z2,p1,ce
950,10,Ethiopia,1,5.0,0.0,0.5,3.25
950,10,Ethiopia,2,10.0,0.0,0.5,7.25
950,10,Ethiopia,3,20.0,0.0,0.5,17.75
950,10,Ethiopia,4,30.0,0.0,0.5,23.25
950,10,Ethiopia,5,30.0,10.0,0.5,17.25
950,10,Ethiopia,6,30.0,20.0,0.5,23.75
950,10,Ethiopia,7,20.0,0.0,0.125,14.25
950,10,Ethiopia,8,20.0,5.0,0.125,16.75
950,10,Ethiopia,9,20.0,0.0,0.25,14.75
950,10,Ethiopia,10,20.0,0.0,0.375,16.75
950,10,Ethiopia,11,20.0,0.0,0.625,18.75
950,10,Ethiopia,12,20.0,0.0,0.75,15.75
950,10,Ethiopia,13,20.0,0.0,0.875,17.75
950,10,Ethiopia,14,20.0,5.0,0.875,17.75
950,10,Ethiopia,23,-5.0,0.0,0.5,-1.75
950,10,Ethiopia,24,-10.0,0.0,0.5,-4.25
950,10,Ethiopia,25,-20.0,0.0,0.5,-5.25
950,10,Ethiopia,26,-20.0,-5.0,0.5,-9.25
950,10,Ethiopia,27,-20.0,-10.0,0.5,-13.25
950,10,Ethiopia,28,-20.0,0.0,0.125,-6.25
950,10,Ethiopia,29,-20.0,-5.0,0.125,-7.25
950,10,Ethiopia,30,-20.0,0.0,0.25,-5.25
950,10,Ethiopia,31,-20.0,0.0,0.375,-3.75
950,10,Ethiopia,32,-20.0,0.0,0.625,-4.75
950,10,Ethiopia,33,-20.0,0.0,0.75,-4.75
950,10,Ethiopia,34,-20.0,0.0,0.875,-5.75
950,10,Ethiopia,35,-20.0,-5.0,0.875,-12.75
950,10,Ethiopia,44,20.0,0.0,0.5,3.25
951,10,Ethiopia,1,5.0,0.0,0.5,2.75
951,10,Ethiopia,2,10.0,0.0,0.5,6.25
951,10,Ethiopia,3,20.0,0.0,0.5,9.75
951,10,Ethiopia,4,30.0,0.0,0.5,8.25
951,10,Ethiopia,5,30.0,10.0,0.5,14.75
951,10,Ethiopia,6,30.0,20.0,0.5,20.75
951,10,Ethiopia,7,20.0,0.0,0.125,7.25
951,10,Ethiopia,8,20.0,5.0,0.125,8.75
