subject,country,country_name,lottery,z1,z2,p1,ce
1090,11,France,1,5.0,0.0,0.5,3.75
1090,11,France,2,10.0,0.0,0.5,3.75
1090,11,France,3,20.0,0.0,0.5,7.75
1090,11,France,4,30.0,0.0,0.5,7.75
1090,11,France,5,30.0,10.0,0.5,10.25
1090,11,France,6,30.0,20.0,0.5,20.25
1090,11,France,7,20.0,0.0,0.125,2.75
1090,11,France,8,20.0,5.0,0.125,6.75
1090,11,France,9,20.0,0.0,0.25,4.75
1090,11,France,10,20.0,0.0,0.375,3.75
1090,11,France,11,20.0,0.0,0.625,9.75
1090,11,France,12,20.0,0.0,0.75,11.75
1090,11,France,13,20.0,0.0,0.875,13.75
1090,11,France,14,20.0,5.0,0.875,17.75
1090,11,France,23,-5.0,0.0,0.5,-4.25
1090,11,France,24,-10.0,0.0,0.5,-7.25
1090,11,France,25,-20.0,0.0,0.5,-15.25
1090,11,France,26,-20.0,-5.0,0.5,-12.25
1090,11,France,27,-20.0,-10.0,0.5,-16.75
1090,11,France,28,-20.0,0.0,0.125,-7.25
1090,11,France,29,-20.0,-5.0,0.125,-9.75
1090,11,France,30,-20.0,0.0,0.25,-14.25
1090,11,France,31,-20.0,0.0,0.375,-12.25
1090,11,France,32,-20.0,0.0,0.625,-15.25
1090,11,France,33,-20.0,0.0,0.75,-18.25
1090,11,France,34,-20.0,0.0,0.875,-18.25
1090,11,France,35,-20.0,-5.0,0.875,-12.75
1090,11,France,44,20.0,0.0,0.5,3.25
1091,11,France,1,5.0,0.0,0.5,3.25
1091,11,France,2,10.0,0.0,0.5,2.25
1091,11,France,3,20.0,0.0,0.5,2.75
1091,11,France,4,30.0,0.0,0.5,10.25
1091,11,France,5,30.0,10.0,0.5,14.75
1091,11,France,6,30.0,20.0,0.5,20.25
1091,11,France,7,20.0,0.0,0.125,9.75
1091,11,France,8,20.0,5.0,0.125,5.75
1091,11,France,9,20.0,0.0,0.25,3.75
1091,11,France,10,20.0,0.0,0.375,4.75
1091,11,France,11,20.0,0.0,0.625,13.25
1091,11,France,12,20.0,0.0,0.75,14.75
1091,11,France,13,20.0,0.0,0.875,14.75
1091,11,France,14,20.0,5.0,0.875,7.75
1091,11,France,23,-5.0,0.0,0.5,-1.75
1091,11,France,24,-10.0,0.0,0.5,-3.25
1091,11,France,25,-20.0,0.0,0.5,-6.75
1091,11,France,26,-20.0,-5.0,0.5,-5.25
1091,11,France,27,-20.0,-10.0,0.5,-10.25
1091,11,France,28,-20.0,0.0,0.125,-0.25
1091,11,France,29,-20.0,-5.0,0.125,-5.25
1091,11,France,30,-20.0,0.0,0.25,-0.25
1091,11,France,31,-20.0,0.0,0.375,-2.75
1091,11,France,32,-20.0,0.0,0.625,-3.75
1091,11,France,33,-20.0,0.0,0.75,-5.75
1091,11,France,34,-20.0,0.0,0.875,-10.25
1091,11,France,35,-20.0,-5.0,0.875,-12.25
1091,11,France,44,20.0,0.0,0.5,14.75
1092,11,France,1,5.0,0.0,0.5,3.25
1092,11,France,2,10.0,0.0,0.5,3.25
1092,11,France,3,20.0,0.0,0.5,5.75
1092,11,France,4,30.0,0.0,0.5,7.75
1092,11,France,5,30.0,10.0,0.5,10.25
1092,11,France,6,30.0,20.0,0.5,20.25
1092,11,France,7,20.0,0.0,0.125,0.75
1092,11,France,8,20.0,5.0,0.125,5.25
1092,11,France,9,20.0,0.0,0.25,1.25
1092,11,France,10,20.0,0.0,0.375,2.25
1092,11,France,11,20.0,0.0,0.625,5.25
1092,11,France,12,20.0,0.0,0.75,7.25
1092,11,France,13,20.0,0.0,0.875,15.25
1092,11,France,14,20.0,5.0,0.875,15.75
1092,11,France,23,-5.0,0.0,0.5,-2.75
1092,11,France,24,-10.0,0.0,0.5,-5.75
