subject,country,country_name,lottery,z1,z2,p1,ce
1397,14,India,1,5.0,0.0,0.5,2.75
1397,14,India,2,10.0,0.0,0.5,1.75
1397,14,India,3,20.0,0.0,0.5,1.25
1397,14,India,4,30.0,0.0,0.5,5.75
1397,14,India,5,30.0,10.0,0.5,15.25
1397,14,India,6,30.0,20.0,0.5,25.25
1397,14,India,7,20.0,0.0,0.125,1.25
1397,14,India,8,20.0,5.0,0.125,13.25
1397,14,India,9,20.0,0.0,0.25,0.75
1397,14,India,10,20.0,0.0,0.375,2.75
1397,14,India,11,20.0,0.0,0.625,2.75
1397,14,India,12,20.0,0.0,0.75,5.25
1397,14,India,13,20.0,0.0,0.875,7.75
1397,14,India,14,20.0,5.0,0.875,10.25
1397,14,India,23,-5.0,0.0,0.5,-2.25
1397,14,India,24,-10.0,0.0,0.5,-1.75
1397,14,India,25,-20.0,0.0,0.5,-5.75
1397,14,India,26,-20.0,-5.0,0.5,-5.75
1397,14,India,27,-20.0,-10.0,0.5,-10.75
1397,14,India,28,-20.0,0.0,0.125,-2.25
1397,14,India,29,-20.0,-5.0,0.125,-5.75
1397,14,India,30,-20.0,0.0,0.25,-3.75
1397,14,India,31,-20.0,0.0,0.375,-2.75
1397,14,India,32,-20.0,0.0,0.625,-3.75
1397,14,India,33,-20.0,0.0,0.75,-6.25
1397,14,India,34,-20.0,0.0,0.875,-8.25
1397,14,India,35,-20.0,-5.0,0.875,-8.75
1397,14,India,44,20.0,0.0,0.5,2.25
1398,14,India,1,5.0,0.0,0.5,4.75
1398,14,India,2,10.0,0.0,0.5,7.25
1398,14,India,3,20.0,0.0,0.5,9.75
1398,14,India,4,30.0,0.0,0.5,9.75
1398,14,India,5,30.0,10.0,0.5,14.25
1398,14,India,6,30.0,20.0,0.5,24.25
1398,14,India,7,20.0,0.0,0.125,5.25
1398,14,India,8,20.0,5.0,0.125,8.25
1398,14,India,9,20.0,0.0,0.25,5.75
1398,14,India,10,20.0,0.0,0.375,8.25
1398,14,India,11,20.0,0.0,0.625,12.75
1398,14,India,12,20.0,0.0,0.75,14.25
1398,14,India,13,20.0,0.0,0.875,19.75
1398,14,India,14,20.0,5.0,0.875,19.75
1398,14,India,23,-5.0,0.0,0.5,-3.75
1398,14,India,24,-10.0,0.0,0.5,-6.75
1398,14,India,25,-20.0,0.0,0.5,-14.75
1398,14,India,26,-20.0,-5.0,0.5,-15.75
1398,14,India,27,-20.0,-10.0,0.5,-15.25
1398,14,India,28,-20.0,0.0,0.125,-0.75
1398,14,India,29,-20.0,-5.0,0.125,-5.75
1398,14,India,30,-20.0,0.0,0.25,-4.25
1398,14,India,31,-20.0,0.0,0.375,-7.25
1398,14,India,32,-20.0,0.0,0.625,-14.25
1398,14,India,33,-20.0,0.0,0.75,-18.75
1398,14,India,34,-20.0,0.0,0.875,-19.75
1398,14,India,35,-20.0,-5.0,0.875,-19.75
1398,14,India,44,20.0,0.0,0.5,4.25
1399,14,India,1,5.0,0.0,0.5,2.75
1399,14,India,2,10.0,0.0,0.5,5.25
1399,14,India,3,20.0,0.0,0.5,7.25
1399,14,India,4,30.0,0.0,0.5,11.25
1399,14,India,5,30.0,10.0,0.5,14.25
1399,14,India,6,30.0,20.0,0.5,23.25
1399,14,India,7,20.0,0.0,0.125,9.75
1399,14,India,8,20.0,5.0,0.125,11.75
1399,14,India,9,20.0,0.0,0.25,9.75
1399,14,India,10,20.0,0.0,0.375,7.25
1399,14,India,11,20.0,0.0,0.625,7.25
1399,14,India,12,20.0,0.0,0.75,9.75
1399,14,India,13,20.0,0.0,0.875,7.25
1399,14,India,14,20.0,5.0,0.875,14.75
1399,14,India,23,-5.0,0.0,0.5,-3.25
1399,14,India,24,-10.0,0.0,0.5,-4.75
1399,14,India,25,-20.0,0.0,0.5,-3.25
1399,14,India,26,-20.0,-5.0,0.5,-5.75
1399,14,India,27,-20.0,-10.0,0.5,-10.75
1399,14,India,28,-20.0,0.0,0.125,-2.75
1399,14,India,29,-20.0,-5.0,0.125,-5.75
1399,14,India,30,-20.0,0.0,0.25,-2.25
1399,14,India,31,-20.0,0.0,0.375,-2.25
1399,14,India,32,-20.0,0.0,0.625,-2.25
1399,14,India,33,-20.0,0.0,0.75,-5.75
1399,14,India,34,-20.0,0.0,0.875,-7.75
