subject,country,country_name,lottery,z1,z2,p1,ce
1486,15,Japan,1,5.0,0.0,0.5,3.25
1486,15,Japan,2,10.0,0.0,0.5,6.75
1486,15,Japan,3,20.0,0.0,0.5,8.75
1486,15,Japan,4,30.0,0.0,0.5,13.75
1486,15,Japan,5,30.0,10.0,0.5,16.75
1486,15,Japan,6,30.0,20.0,0.5,25.25
1486,15,Japan,7,20.0,0.0,0.125,8.25
1486,15,Japan,8,20.0,5.0,0.125,8.75
1486,15,Japan,9,20.0,0.0,0.25,6.75
1486,15,Japan,10,20.0,0.0,0.375,5.75
1486,15,Japan,11,20.0,0.0,0.625,12.75
1486,15,Japan,12,20.0,0.0,0.75,12.25
1486,15,Japan,13,20.0,0.0,0.875,16.25
1486,15,Japan,14,20.0,5.0,0.875,18.25
1486,15,Japan,23,-5.0,0.0,0.5,-2.75
1486,15,Japan,24,-10.0,0.0,0.5,-6.25
1486,15,Japan,25,-20.0,0.0,0.5,-8.75
1486,15,Japan,26,-20.0,-5.0,0.5,-12.75
1486,15,Japan,27,-20.0,-10.0,0.5,-15.25
1486,15,Japan,28,-20.0,0.0,0.125,-4.75
1486,15,Japan,29,-20.0,-5.0,0.125,-8.25
1486,15,Japan,30,-20.0,0.0,0.25,-4.25
1486,15,Japan,31,-20.0,0.0,0.375,-5.25
1486,15,Japan,32,-20.0,0.0,0.625,-12.75
1486,15,Japan,33,-20.0,0.0,0.75,-15.25
1486,15,Japan,34,-20.0,0.0,0.875,-16.75
1486,15,Japan,35,-20.0,-5.0,0.875,-12.75
1486,15,Japan,44,20.0,0.0,0.5,11.75
1487,15,Japan,1,5.0,0.0,0.5,2.25
1487,15,Japan,2,10.0,0.0,0.5,3.75
1487,15,Japan,3,20.0,0.0,0.5,4.75
1487,15,Japan,4,30.0,0.0,0.5,7.25
1487,15,Japan,5,30.0,10.0,0.5,24.75
1487,15,Japan,6,30.0,20.0,0.5,28.25
1487,15,Japan,7,20.0,0.0,0.125,4.25
1487,15,Japan,8,20.0,5.0,0.125,7.25
1487,15,Japan,9,20.0,0.0,0.25,4.25
1487,15,Japan,10,20.0,0.0,0.375,4.75
1487,15,Japan,11,20.0,0.0,0.625,5.75
1487,15,Japan,12,20.0,0.0,0.75,6.75
1487,15,Japan,13,20.0,0.0,0.875,8.25
1487,15,Japan,14,20.0,5.0,0.875,9.75
1487,15,Japan,23,-5.0,0.0,0.5,-1.25
1487,15,Japan,24,-10.0,0.0,0.5,-2.75
1487,15,Japan,25,-20.0,0.0,0.5,-7.25
1487,15,Japan,26,-20.0,-5.0,0.5,-10.75
1487,15,Japan,27,-20.0,-10.0,0.5,-15.25
1487,15,Japan,28,-20.0,0.0,0.125,-4.75
1487,15,Japan,29,-20.0,-5.0,0.125,-8.25
1487,15,Japan,30,-20.0,0.0,0.25,-5.25
1487,15,Japan,31,-20.0,0.0,0.375,-6.25
1487,15,Japan,32,-20.0,0.0,0.625,-7.75
1487,15,Japan,33,-20.0,0.0,0.75,-8.75
1487,15,Japan,34,-20.0,0.0,0.875,-12.75
1487,15,Japan,35,-20.0,-5.0,0.875,-12.75
1487,15,Japan,44,20.0,0.0,0.5,10.75
1488,15,Japan,1,5.0,0.0,0.5,3.75
1488,15,Japan,2,10.0,0.0,0.5,7.25
1488,15,Japan,3,20.0,0.0,0.5,8.25
1488,15,Japan,4,30.0,0.0,0.5,13.25
1488,15,Japan,5,30.0,10.0,0.5,16.75
1488,15,Japan,6,30.0,20.0,0.5,24.75
1488,15,Japan,7,20.0,0.0,0.125,5.25
1488,15,Japan,8,20.0,5.0,0.125,5.25
1488,15,Japan,9,20.0,0.0,0.25,4.75
1488,15,Japan,10,20.0,0.0,0.375,6.75
1488,15,Japan,11,20.0,0.0,0.625,8.25
1488,15,Japan,12,20.0,0.0,0.75,10.25
1488,15,Japan,13,20.0,0.0,0.875,15.25
1488,15,Japan,14,20.0,5.0,0.875,15.75
1488,15,Japan,23,-5.0,0.0,0.5,-2.75
1488,15,Japan,24,-10.0,0.0,0.5,-5.25
1488,15,Japan,25,-20.0,0.0,0.5,-10.25
1488,15,Japan,26,-20.0,-5.0,0.5,-10.25
1488,15,Japan,27,-20.0,-10.0,0.5,-15.25
1488,15,Japan,28,-20.0,0.0,0.125,-2.75
1488,15,Japan,29,-20.0,-5.0,0.125,-7.75
1488,15,Japan,30,-20.0,0.0,0.25,-5.25
1488,15,Japan,31,-20.0,0.0,0.375,-7.75
1488,15,Japan,32,-20.0,0.0,0.625,-12.75
1488,15,Japan,33,-20.0,0.0,0.75,-12.75
1488,15,Japan,34,-20.0,0.0,0.875,-16.75
1488,15,Japan,35,-20.0,-5.0,0.875,-16.75
1488,15,Japan,44,20.0,0.0,0.5,20.25
1489,15,Japan,1,5.0,0.0,0.5,2.25
1489,15,Japan,2,10.0,0.0,0.5,4.75
1489,15,Japan,3,20.0,0.0,0.5,9.75
1489,15,Japan,4,30.0,0.0,0.5,14.75
1489,15,Japan,5,30.0,10.0,0.5,19.75
1489,15,Japan,6,30.0,20.0,0.5,24.75
1489,15,Japan,7,20.0,0.0,0.125,2.25
1489,15,Japan,8,20.0,5.0,0.125,6.75
1489,15,Japan,9,20.0,0.0,0.25,4.75
1489,15,Japan,10,20.0,0.0,0.375,7.25
1489,15,Japan,11,20.0,0.0,0.625,12.25
1489,15,Japan,12,20.0,0.0,0.75,14.75
1489,15,Japan,13,20.0,0.0,0.875,17.25
1489,15,Japan,14,20.0,5.0,0.875,18.25
1489,15,Japan,23,-5.0,0.0,0.5,-2.25
1489,15,Japan,24,-10.0,0.0,0.5,-4.75
1489,15,Japan,25,-20.0,0.0,0.5,-9.75
