subject,country,country_name,lottery,z1,z2,p1,ce
1570,16,Kyrgyzstan,1,5.0,0.0,0.5,4.75
1570,16,Kyrgyzstan,2,10.0,0.0,0.5,6.75
1570,16,Kyrgyzstan,3,20.0,0.0,0.5,6.75
1570,16,Kyrgyzstan,4,30.0,0.0,0.5,16.75
1570,16,Kyrgyzstan,5,30.0,10.0,0.5,18.25
1570,16,Kyrgyzstan,6,30.0,20.0,0.5,29.75
1570,16,Kyrgyzstan,7,20.0,0.0,0.125,6.25
1570,16,Kyrgyzstan,8,20.0,5.0,0.125,19.75
1570,16,Kyrgyzstan,9,20.0,0.0,0.25,2.75
1570,16,Kyrgyzstan,10,20.0,0.0,0.375,2.75
1570,16,Kyrgyzstan,11,20.0,0.0,0.625,10.25
1570,16,Kyrgyzstan,12,20.0,0.0,0.75,10.25
1570,16,Kyrgyzstan,13,20.0,0.0,0.875,16.75
1570,16,Kyrgyzstan,14,20.0,5.0,0.875,18.25
1570,16,Kyrgyzstan,23,-5.0,0.0,0.5,-3.25
1570,16,Kyrgyzstan,24,-10.0,0.0,0.5,-3.25
1570,16,Kyrgyzstan,25,-20.0,0.0,0.5,-4.75
1570,16,Kyrgyzstan,26,-20.0,-5.0,0.5,-9.75
1570,16,Kyrgyzstan,27,-20.0,-10.0,0.5,-13.25
1570,16,Kyrgyzstan,28,-20.0,0.0,0.125,-0.25
1570,16,Kyrgyzstan,29,-20.0,-5.0,0.125,-7.25
1570,16,Kyrgyzstan,30,-20.0,0.0,0.25,-5.25
1570,16,Kyrgyzstan,31,-20.0,0.0,0.375,-6.75
1570,16,Kyrgyzstan,32,-20.0,0.0,0.625,-15.25
1570,16,Kyrgyzstan,33,-20.0,0.0,0.75,-15.25
1570,16,Kyrgyzstan,34,-20.0,0.0,0.875,-18.75
1570,16,Kyrgyzstan,35,-20.0,-5.0,0.875,-19.75
1570,16,Kyrgyzstan,44,20.0,0.0,0.5,20.25
1571,16,Kyrgyzstan,1,5.0,0.0,0.5,3.25
1571,16,Kyrgyzstan,2,10.0,0.0,0.5,6.25
1571,16,Kyrgyzstan,3,20.0,0.0,0.5,10.75
1571,16,Kyrgyzstan,4,30.0,0.0,0.5,14.75
1571,16,Kyrgyzstan,5,30.0,10.0,0.5,20.25
1571,16,Kyrgyzstan,6,30.0,20.0,0.5,24.75
1571,16,Kyrgyzstan,7,20.0,0.0,0.125,0.75
1571,16,Kyrgyzstan,8,20.0,5.0,0.125,6.25
1571,16,Kyrgyzstan,9,20.0,0.0,0.25,2.75
1571,16,Kyrgyzstan,10,20.0,0.0,0.375,7.25
1571,16,Kyrgyzstan,11,20.0,0.0,0.625,12.75
1571,16,Kyrgyzstan,12,20.0,0.0,0.75,15.25
1571,16,Kyrgyzstan,13,20.0,0.0,0.875,17.25
1571,16,Kyrgyzstan,14,20.0,5.0,0.875,19.25
1571,16,Kyrgyzstan,23,-5.0,0.0,0.5,-0.25
1571,16,Kyrgyzstan,24,-10.0,0.0,0.5,-4.25
1571,16,Kyrgyzstan,25,-20.0,0.0,0.5,-10.25
1571,16,Kyrgyzstan,26,-20.0,-5.0,0.5,-12.25
1571,16,Kyrgyzstan,27,-20.0,-10.0,0.5,-10.75
1571,16,Kyrgyzstan,28,-20.0,0.0,0.125,-0.25
1571,16,Kyrgyzstan,29,-20.0,-5.0,0.125,-5.75
1571,16,Kyrgyzstan,30,-20.0,0.0,0.25,-0.75
1571,16,Kyrgyzstan,31,-20.0,0.0,0.375,-0.75
1571,16,Kyrgyzstan,32,-20.0,0.0,0.625,-0.75
1571,16,Kyrgyzstan,33,-20.0,0.0,0.75,-0.75
1571,16,Kyrgyzstan,34,-20.0,0.0,0.875,-6.75
1571,16,Kyrgyzstan,35,-20.0,-5.0,0.875,-16.75
1571,16,Kyrgyzstan,44,20.0,0.0,0.5,10.25
1572,16,Kyrgyzstan,1,5.0,0.0,0.5,2.75
1572,16,Kyrgyzstan,2,10.0,0.0,0.5,5.25
1572,16,Kyrgyzstan,3,20.0,0.0,0.5,10.25
1572,16,Kyrgyzstan,4,30.0,0.0,0.5,8.25
1572,16,Kyrgyzstan,5,30.0,10.0,0.5,29.75
1572,16,Kyrgyzstan,6,30.0,20.0,0.5,24.75
1572,16,Kyrgyzstan,7,20.0,0.0,0.125,2.25
1572,16,Kyrgyzstan,8,20.0,5.0,0.125,9.75
1572,16,Kyrgyzstan,9,20.0,0.0,0.25,4.75
1572,16,Kyrgyzstan,10,20.0,0.0,0.375,7.75
1572,16,Kyrgyzstan,11,20.0,0.0,0.625,12.25
1572,16,Kyrgyzstan,12,20.0,0.0,0.75,16.75
1572,16,Kyrgyzstan,13,20.0,0.0,0.875,16.75
1572,16,Kyrgyzstan,14,20.0,5.0,0.875,19.25
1572,16,Kyrgyzstan,23,-5.0,0.0,0.5,-2.25
1572,16,Kyrgyzstan,24,-10.0,0.0,0.5,-4.75
1572,16,Kyrgyzstan,25,-20.0,0.0,0.5,-9.75
1572,16,Kyrgyzstan,26,-20.0,-5.0,0.5,-9.75
1572,16,Kyrgyzstan,27,-20.0,-10.0,0.5,-10.75
1572,16,Kyrgyzstan,28,-20.0,0.0,0.125,-0.25
1572,16,Kyrgyzstan,29,-20.0,-5.0,0.125,-5.75
1572,16,Kyrgyzstan,30,-20.0,0.0,0.25,-4.25
1572,16,Kyrgyzstan,31,-20.0,0.0,0.375,-5.25
1572,16,Kyrgyzstan,32,-20.0,0.0,0.625,-10.25
1572,16,Kyrgyzstan,33,-20.0,0.0,0.75,-10.25
1572,16,Kyrgyzstan,34,-20.0,0.0,0.875,-19.25
1572,16,Kyrgyzstan,35,-20.0,-5.0,0.875,-16.75
1572,16,Kyrgyzstan,44,20.0,0.0,0.5,5.25
1573,16,Kyrgyzstan,1,5.0,0.0,0.5,3.25
1573,16,Kyrgyzstan,2,10.0,0.0,0.5,3.75
1573,16,Kyrgyzstan,3,20.0,0.0,0.5,6.25
1573,16,Kyrgyzstan,4,30.0,0.0,0.5,9.75
