subject,z1,z2,p1,ce
0,-5.847953216374269,0.0,0.25,-2.4853801169590644
0,-5.847953216374269,0.0,0.25,-1.608187134502924
0,-5.847953216374269,0.0,0.25,-2.4853801169590644
0,-11.695906432748538,0.0,0.25,-4.385964912280702
0,-11.695906432748538,0.0,0.25,-3.216374269005848
0,-11.695906432748538,0.0,0.25,-3.801169590643275
0,-23.391812865497077,0.0,0.25,-14.619883040935672
0,-23.391812865497077,0.0,0.25,-7.60233918128655
0,-23.391812865497077,0.0,0.25,-6.432748538011696
0,-11.695906432748538,-5.847953216374269,0.25,-8.91812865497076
0,-11.695906432748538,-5.847953216374269,0.25,-7.748538011695906
0,-11.695906432748538,-5.847953216374269,0.25,-7.748538011695906
0,-17.54385964912281,-5.847953216374269,0.25,-9.649122807017545
0,-17.54385964912281,-5.847953216374269,0.25,-8.47953216374269
0,-17.54385964912281,-5.847953216374269,0.25,-9.649122807017545
0,-23.391812865497077,-17.54385964912281,0.25,-20.906432748538013
0,-23.391812865497077,-17.54385964912281,0.25,-20.029239766081872
0,-23.391812865497077,-17.54385964912281,0.25,-19.444444444444446
1,-5.847953216374269,0.0,0.25,-1.608187134502924
1,-5.847953216374269,0.0,0.25,-1.608187134502924
1,-5.847953216374269,0.0,0.25,-0.14619883040935672
1,-11.695906432748538,0.0,0.25,-3.216374269005848
1,-11.695906432748538,0.0,0.25,-3.801169590643275
1,-11.695906432748538,0.0,0.25,-3.216374269005848
1,-23.391812865497077,0.0,0.25,-6.432748538011696
1,-23.391812865497077,0.0,0.25,-6.432748538011696
1,-23.391812865497077,0.0,0.25,-6.432748538011696
1,-11.695906432748538,-5.847953216374269,0.25,-7.16374269005848
1,-11.695906432748538,-5.847953216374269,0.25,-7.4561403508771935
1,-11.695906432748538,-5.847953216374269,0.25,-7.4561403508771935
1,-17.54385964912281,-5.847953216374269,0.25,-9.064327485380117
1,-17.54385964912281,-5.847953216374269,0.25,-9.064327485380117
1,-17.54385964912281,-5.847953216374269,0.25,-9.064327485380117
1,-23.391812865497077,-17.54385964912281,0.25,-19.15204678362573
1,-23.391812865497077,-17.54385964912281,0.25,-19.15204678362573
1,-23.391812865497077,-17.54385964912281,0.25,-19.15204678362573
2,-5.847953216374269,0.0,0.25,-1.3157894736842106
2,-5.847953216374269,0.0,0.25,-2.4853801169590644
2,-5.847953216374269,0.0,0.25,-1.9005847953216375
2,-11.695906432748538,0.0,0.25,-4.970760233918129
2,-11.695906432748538,0.0,0.25,-4.970760233918129
2,-11.695906432748538,0.0,0.25,-3.801169590643275
2,-23.391812865497077,0.0,0.25,-9.941520467836257
2,-23.391812865497077,0.0,0.25,-9.941520467836257
2,-23.391812865497077,0.0,0.25,-12.280701754385966
2,-11.695906432748538,-5.847953216374269,0.25,-8.04093567251462
2,-11.695906432748538,-5.847953216374269,0.25,-7.16374269005848
2,-11.695906432748538,-5.847953216374269,0.25,-8.333333333333334
2,-17.54385964912281,-5.847953216374269,0.25,-9.649122807017545
2,-17.54385964912281,-5.847953216374269,0.25,-9.649122807017545
2,-17.54385964912281,-5.847953216374269,0.25,-9.649122807017545
2,-23.391812865497077,-17.54385964912281,0.25,-19.736842105263158
2,-23.391812865497077,-17.54385964912281,0.25,-19.444444444444446
2,-23.391812865497077,-17.54385964912281,0.25,-20.029239766081872
3,-5.847953216374269,0.0,0.25,-0.7309941520467836
3,-5.847953216374269,0.0,0.25,-0.9649122807017544
3,-5.847953216374269,0.0,0.25,-1.9005847953216375
3,-11.695906432748538,0.0,0.25,-6.7251461988304095
3,-11.695906432748538,0.0,0.25,-4.385964912280702
3,-11.695906432748538,0.0,0.25,-3.216374269005848
3,-23.391812865497077,0.0,0.25,-8.771929824561404
3,-23.391812865497077,0.0,0.25,-9.941520467836257
3,-23.391812865497077,0.0,0.25,-6.432748538011696
3,-11.695906432748538,-5.847953216374269,0.25,-7.16374269005848
3,-11.695906432748538,-5.847953216374269,0.25,-8.333333333333334
