subject,country,country_name,lottery,z1,z2,p1,ce
1851,19,Nigeria,1,5.0,0.0,0.5,2.75
1851,19,Nigeria,2,10.0,0.0,0.5,4.25
1851,19,Nigeria,3,20.0,0.0,0.5,9.25
1851,19,Nigeria,4,30.0,0.0,0.5,5.75
1851,19,Nigeria,5,30.0,10.0,0.5,12.75
1851,19,Nigeria,6,30.0,20.0,0.5,20.75
1851,19,Nigeria,7,20.0,0.0,0.125,10.75
1851,19,Nigeria,8,20.0,5.0,0.125,5.75
1851,19,Nigeria,9,20.0,0.0,0.25,15.25
1851,19,Nigeria,10,20.0,0.0,0.375,5.75
1851,19,Nigeria,11,20.0,0.0,0.625,0.25
1851,19,Nigeria,12,20.0,0.0,0.75,12.25
1851,19,Nigeria,13,20.0,0.0,0.875,1.25
1851,19,Nigeria,14,20.0,5.0,0.875,8.25
1851,19,Nigeria,23,-5.0,0.0,0.5,-0.25
1851,19,Nigeria,24,-10.0,0.0,0.5,-0.75
1851,19,Nigeria,25,-20.0,0.0,0.5,-0.25
1851,19,Nigeria,26,-20.0,-5.0,0.5,-5.75
1851,19,Nigeria,27,-20.0,-10.0,0.5,-10.25
1851,19,Nigeria,28,-20.0,0.0,0.125,-0.25
1851,19,Nigeria,29,-20.0,-5.0,0.125,-5.25
1851,19,Nigeria,30,-20.0,0.0,0.25,-0.25
1851,19,Nigeria,31,-20.0,0.0,0.375,-0.75
1851,19,Nigeria,32,-20.0,0.0,0.625,-0.25
1851,19,Nigeria,33,-20.0,0.0,0.75,-0.75
1851,19,Nigeria,34,-20.0,0.0,0.875,-0.75
1851,19,Nigeria,35,-20.0,-5.0,0.875,-5.25
1851,19,Nigeria,44,20.0,0.0,0.5,20.25
1852,19,Nigeria,1,5.0,0.0,0.5,2.75
1852,19,Nigeria,2,10.0,0.0,0.5,3.75
1852,19,Nigeria,3,20.0,0.0,0.5,11.25
1852,19,Nigeria,4,30.0,0.0,0.5,24.75
1852,19,Nigeria,5,30.0,10.0,0.5,10.25
1852,19,Nigeria,6,30.0,20.0,0.5,26.25
1852,19,Nigeria,7,20.0,0.0,0.125,0.25
1852,19,Nigeria,8,20.0,5.0,0.125,19.25
1852,19,Nigeria,9,20.0,0.0,0.25,18.25
1852,19,Nigeria,10,20.0,0.0,0.375,1.75
1852,19,Nigeria,11,20.0,0.0,0.625,8.25
1852,19,Nigeria,12,20.0,0.0,0.75,10.75
1852,19,Nigeria,13,20.0,0.0,0.875,10.25
1852,19,Nigeria,14,20.0,5.0,0.875,7.75
1852,19,Nigeria,23,-5.0,0.0,0.5,-4.75
1852,19,Nigeria,24,-10.0,0.0,0.5,-4.25
1852,19,Nigeria,25,-20.0,0.0,0.5,-7.25
1852,19,Nigeria,26,-20.0,-5.0,0.5,-5.25
1852,19,Nigeria,27,-20.0,-10.0,0.5,-10.25
1852,19,Nigeria,28,-20.0,0.0,0.125,-0.25
1852,19,Nigeria,29,-20.0,-5.0,0.125,-5.25
1852,19,Nigeria,30,-20.0,0.0,0.25,-19.75
1852,19,Nigeria,31,-20.0,0.0,0.375,-0.25
1852,19,Nigeria,32,-20.0,0.0,0.625,-19.75
1852,19,Nigeria,33,-20.0,0.0,0.75,-9.25
1852,19,Nigeria,34,-20.0,0.0,0.875,-10.25
1852,19,Nigeria,35,-20.0,-5.0,0.875,-6.75
1852,19,Nigeria,44,20.0,0.0,0.5,2.75
1853,19,Nigeria,1,5.0,0.0,0.5,0.25
1853,19,Nigeria,2,10.0,0.0,0.5,5.25
1853,19,Nigeria,3,20.0,0.0,0.5,19.75
1853,19,Nigeria,4,30.0,0.0,0.5,14.75
1853,19,Nigeria,5,30.0,10.0,0.5,29.75
1853,19,Nigeria,6,30.0,20.0,0.5,29.75
1853,19,Nigeria,7,20.0,0.0,0.125,9.75
1853,19,Nigeria,8,20.0,5.0,0.125,13.25
1853,19,Nigeria,9,20.0,0.0,0.25,9.75
1853,19,Nigeria,10,20.0,0.0,0.375,10.25
1853,19,Nigeria,11,20.0,0.0,0.625,10.25
1853,19,Nigeria,12,20.0,0.0,0.75,10.25
