subject,country,country_name,lottery,z1,z2,p1,ce
2053,20,Peru,1,5.0,0.0,0.5,2.75
2053,20,Peru,2,10.0,0.0,0.5,6.75
2053,20,Peru,3,20.0,0.0,0.5,9.75
2053,20,Peru,4,30.0,0.0,0.5,17.75
2053,20,Peru,5,30.0,10.0,0.5,22.25
2053,20,Peru,6,30.0,20.0,0.5,24.75
2053,20,Peru,7,20.0,0.0,0.125,12.25
2053,20,Peru,8,20.0,5.0,0.125,10.75
2053,20,Peru,9,20.0,0.0,0.25,8.25
2053,20,Peru,10,20.0,0.0,0.375,10.25
2053,20,Peru,11,20.0,0.0,0.625,13.25
2053,20,Peru,12,20.0,0.0,0.75,15.25
2053,20,Peru,13,20.0,0.0,0.875,16.25
2053,20,Peru,14,20.0,5.0,0.875,17.25
2053,20,Peru,23,-5.0,0.0,0.5,-2.75
2053,20,Peru,24,-10.0,0.0,0.5,-4.75
2053,20,Peru,25,-20.0,0.0,0.5,-10.75
2053,20,Peru,26,-20.0,-5.0,0.5,-11.75
2053,20,Peru,27,-20.0,-10.0,0.5,-13.75
2053,20,Peru,28,-20.0,0.0,0.125,-5.25
2053,20,Peru,29,-20.0,-5.0,0.125,-8.75
2053,20,Peru,30,-20.0,0.0,0.25,-6.75
2053,20,Peru,31,-20.0,0.0,0.375,-8.75
2053,20,Peru,32,-20.0,0.0,0.625,-15.25
2053,20,Peru,33,-20.0,0.0,0.75,-15.75
2053,20,Peru,34,-20.0,0.0,0.875,-17.25
2053,20,Peru,35,-20.0,-5.0,0.875,-18.25
2053,20,Peru,44,20.0,0.0,0.5,9.75
2054,20,Peru,1,5.0,0.0,0.5,3.75
2054,20,Peru,2,10.0,0.0,0.5,7.75
2054,20,Peru,3,20.0,0.0,0.5,16.75
2054,20,Peru,4,30.0,0.0,0.5,21.75
2054,20,Peru,5,30.0,10.0,0.5,25.25
2054,20,Peru,6,30.0,20.0,0.5,26.25
2054,20,Peru,7,20.0,0.0,0.125,15.25
2054,20,Peru,8,20.0,5.0,0.125,16.75
2054,20,Peru,9,20.0,0.0,0.25,14.75
2054,20,Peru,10,20.0,0.0,0.375,15.25
2054,20,Peru,11,20.0,0.0,0.625,16.25
2054,20,Peru,12,20.0,0.0,0.75,16.75
2054,20,Peru,13,20.0,0.0,0.875,17.75
2054,20,Peru,14,20.0,5.0,0.875,17.75
2054,20,Peru,23,-5.0,0.0,0.5,-3.25
2054,20,Peru,24,-10.0,0.0,0.5,-5.75
2054,20,Peru,25,-20.0,0.0,0.5,-12.75
2054,20,Peru,26,-20.0,-5.0,0.5,-15.25
2054,20,Peru,27,-20.0,-10.0,0.5,-16.75
2054,20,Peru,28,-20.0,0.0,0.125,-14.75
2054,20,Peru,29,-20.0,-5.0,0.125,-12.25
2054,20,Peru,30,-20.0,0.0,0.25,-9.75
2054,20,Peru,31,-20.0,0.0,0.375,-12.75
2054,20,Peru,32,-20.0,0.0,0.625,-15.25
2054,20,Peru,33,-20.0,0.0,0.75,-16.25
2054,20,Peru,34,-20.0,0.0,0.875,-16.25
2054,20,Peru,35,-20.0,-5.0,0.875,-15.25
2054,20,Peru,44,20.0,0.0,0.5,9.75
2055,20,Peru,1,5.0,0.0,0.5,2.25
2055,20,Peru,2,10.0,0.0,0.5,2.25
2055,20,Peru,3,20.0,0.0,0.5,4.75
2055,20,Peru,4,30.0,0.0,0.5,10.25
2055,20,Peru,5,30.0,10.0,0.5,12.75
2055,20,Peru,6,30.0,20.0,0.5,28.75
2055,20,Peru,7,20.0,0.0,0.125,4.75
2055,20,Peru,8,20.0,5.0,0.125,8.25
2055,20,Peru,9,20.0,0.0,0.25,15.25
2055,20,Peru,10,20.0,0.0,0.375,6.75
2055,20,Peru,11,20.0,0.0,0.625,15.25
2055,20,Peru,12,20.0,0.0,0.75,12.75
2055,20,Peru,13,20.0,0.0,0.875,11.75
2055,20,Peru,14,20.0,5.0,0.875,14.25
2055,20,Peru,23,-5.0,0.0,0.5,-2.25
2055,20,Peru,24,-10.0,0.0,0.5,-5.75
2055,20,Peru,25,-20.0,0.0,0.5,-14.75
2055,20,Peru,26,-20.0,-5.0,0.5,-13.25
2055,20,Peru,27,-20.0,-10.0,0.5,-15.25
2055,20,Peru,28,-20.0,0.0,0.125,-5.75
2055,20,Peru,29,-20.0,-5.0,0.125,-15.25
2055,20,Peru,30,-20.0,0.0,0.25,-13.25
2055,20,Peru,31,-20.0,0.0,0.375,-10.25
2055,20,Peru,32,-20.0,0.0,0.625,-13.25
2055,20,Peru,33,-20.0,0.0,0.75,-16.25
2055,20,Peru,34,-20.0,0.0,0.875,-17.75
2055,20,Peru,35,-20.0,-5.0,0.875,-18.25
2055,20,Peru,44,20.0,0.0,0.5,12.75
2056,20,Peru,1,5.0,0.0,0.5,0.25
2056,20,Peru,2,10.0,0.0,0.5,5.75
2056,20,Peru,3,20.0,0.0,0.5,12.25
2056,20,Peru,4,30.0,0.0,0.5,16.25
2056,20,Peru,5,30.0,10.0,0.5,20.75
2056,20,Peru,6,30.0,20.0,0.5,29.75
2056,20,Peru,7,20.0,0.0,0.125,4.75
2056,20,Peru,8,20.0,5.0,0.125,19.75
2056,20,Peru,9,20.0,0.0,0.25,9.75
2056,20,Peru,10,20.0,0.0,0.375,14.75
2056,20,Peru,11,20.0,0.0,0.625,16.25
2056,20,Peru,12,20.0,0.0,0.75,19.75
2056,20,Peru,13,20.0,0.0,0.875,17.75
2056,20,Peru,14,20.0,5.0,0.875,19.75
2056,20,Peru,23,-5.0,0.0,0.5,-0.25
2056,20,Peru,24,-10.0,0.0,0.5,-4.75
2056,20,Peru,25,-20.0,0.0,0.5,-6.75
2056,20,Peru,26,-20.0,-5.0,0.5,-5.25
2056,20,Peru,27,-20.0,-10.0,0.5,-10.25
2056,20,Peru,28,-20.0,0.0,0.125,-0.25
2056,20,Peru,29,-20.0,-5.0,0.125,-9.75
2056,20,Peru,30,-20.0,0.0,0.25,-0.25
2056,20,Peru,31,-20.0,0.0,0.375,-5.25
2056,20,Peru,32,-20.0,0.0,0.625,-19.75
2056,20,Peru,33,-20.0,0.0,0.75,-19.75
2056,20,Peru,34,-20.0,0.0,0.875,-19.75
2056,20,Peru,35,-20.0,-5.0,0.875,-19.75
2056,20,Peru,44,20.0,0.0,0.5,2.75
2057,20,Peru,1,5.0,0.0,0.5,1.25
2057,20,Peru,2,10.0,0.0,0.5,0.25
2057,20,Peru,3,20.0,0.0,0.5,3.25
2057,20,Peru,4,30.0,0.0,0.5,6.75
