subject,country,country_name,lottery,z1,z2,p1,ce
2602,27,Tunisia,1,5.0,0.0,0.5,2.25
2602,27,Tunisia,2,10.0,0.0,0.5,4.75
2602,27,Tunisia,3,20.0,0.0,0.5,5.75
2602,27,Tunisia,4,30.0,0.0,0.5,5.75
2602,27,Tunisia,5,30.0,10.0,0.5,15.75
2602,27,Tunisia,6,30.0,20.0,0.5,25.75
2602,27,Tunisia,7,20.0,0.0,0.125,2.75
2602,27,Tunisia,8,20.0,5.0,0.125,5.75
2602,27,Tunisia,9,20.0,0.0,0.25,3.75
2602,27,Tunisia,10,20.0,0.0,0.375,4.75
2602,27,Tunisia,11,20.0,0.0,0.625,5.75
2602,27,Tunisia,12,20.0,0.0,0.75,5.75
2602,27,Tunisia,13,20.0,0.0,0.875,9.75
2602,27,Tunisia,14,20.0,5.0,0.875,9.75
2602,27,Tunisia,23,-5.0,0.0,0.5,-3.25
2602,27,Tunisia,24,-10.0,0.0,0.5,-6.25
2602,27,Tunisia,25,-20.0,0.0,0.5,-10.25
2602,27,Tunisia,26,-20.0,-5.0,0.5,-11.75
2602,27,Tunisia,27,-20.0,-10.0,0.5,-15.75
2602,27,Tunisia,28,-20.0,0.0,0.125,-14.75
2602,27,Tunisia,29,-20.0,-5.0,0.125,-11.75
2602,27,Tunisia,30,-20.0,0.0,0.25,-9.75
2602,27,Tunisia,31,-20.0,0.0,0.375,-8.75
2602,27,Tunisia,32,-20.0,0.0,0.625,-14.25
2602,27,Tunisia,33,-20.0,0.0,0.75,-13.75
2602,27,Tunisia,34,-20.0,0.0,0.875,-15.75
2602,27,Tunisia,35,-20.0,-5.0,0.875,-14.75
2602,27,Tunisia,44,20.0,0.0,0.5,9.75
2603,27,Tunisia,1,5.0,0.0,0.5,3.25
2603,27,Tunisia,2,10.0,0.0,0.5,6.25
2603,27,Tunisia,3,20.0,0.0,0.5,6.25
2603,27,Tunisia,4,30.0,0.0,0.5,6.75
2603,27,Tunisia,5,30.0,10.0,0.5,12.25
2603,27,Tunisia,6,30.0,20.0,0.5,28.25
2603,27,Tunisia,7,20.0,0.0,0.125,1.25
2603,27,Tunisia,8,20.0,5.0,0.125,7.25
2603,27,Tunisia,9,20.0,0.0,0.25,1.25
2603,27,Tunisia,10,20.0,0.0,0.375,1.75
2603,27,Tunisia,11,20.0,0.0,0.625,12.75
2603,27,Tunisia,12,20.0,0.0,0.75,14.75
2603,27,Tunisia,13,20.0,0.0,0.875,13.75
2603,27,Tunisia,14,20.0,5.0,0.875,15.75
2603,27,Tunisia,23,-5.0,0.0,0.5,-1.25
2603,27,Tunisia,24,-10.0,0.0,0.5,-5.25
2603,27,Tunisia,25,-20.0,0.0,0.5,-1.25
2603,27,Tunisia,26,-20.0,-5.0,0.5,-5.25
2603,27,Tunisia,27,-20.0,-10.0,0.5,-10.75
2603,27,Tunisia,28,-20.0,0.0,0.125,-1.25
2603,27,Tunisia,29,-20.0,-5.0,0.125,-7.75
2603,27,Tunisia,30,-20.0,0.0,0.25,-1.25
2603,27,Tunisia,31,-20.0,0.0,0.375,-4.25
2603,27,Tunisia,32,-20.0,0.0,0.625,-1.75
2603,27,Tunisia,33,-20.0,0.0,0.75,-1.75
2603,27,Tunisia,34,-20.0,0.0,0.875,-0.25
2603,27,Tunisia,35,-20.0,-5.0,0.875,-5.75
2603,27,Tunisia,44,20.0,0.0,0.5,5.75
2604,27,Tunisia,1,5.0,0.0,0.5,2.75
2604,27,Tunisia,2,10.0,0.0,0.5,5.25
2604,27,Tunisia,3,20.0,0.0,0.5,10.75
2604,27,Tunisia,4,30.0,0.0,0.5,12.25
2604,27,Tunisia,5,30.0,10.0,0.5,15.75
2604,27,Tunisia,6,30.0,20.0,0.5,25.75
2604,27,Tunisia,7,20.0,0.0,0.125,5.75
