subject,country,country_name,lottery,z1,z2,p1,ce
2676,28,UK,1,5.0,0.0,0.5,3.75
2676,28,UK,2,10.0,0.0,0.5,5.25
2676,28,UK,3,20.0,0.0,0.5,6.75
2676,28,UK,4,30.0,0.0,0.5,17.75
2676,28,UK,5,30.0,10.0,0.5,16.25
2676,28,UK,6,30.0,20.0,0.5,20.75
2676,28,UK,7,20.0,0.0,0.125,12.75
2676,28,UK,8,20.0,5.0,0.125,5.75
2676,28,UK,9,20.0,0.0,0.25,5.75
2676,28,UK,10,20.0,0.0,0.375,4.75
2676,28,UK,11,20.0,0.0,0.625,9.75
2676,28,UK,12,20.0,0.0,0.75,12.75
2676,28,UK,13,20.0,0.0,0.875,13.75
2676,28,UK,14,20.0,5.0,0.875,19.25
2676,28,UK,23,-5.0,0.0,0.5,-2.25
2676,28,UK,24,-10.0,0.0,0.5,-3.75
2676,28,UK,25,-20.0,0.0,0.5,-6.75
2676,28,UK,26,-20.0,-5.0,0.5,-14.25
2676,28,UK,27,-20.0,-10.0,0.5,-12.75
2676,28,UK,28,-20.0,0.0,0.125,-1.75
2676,28,UK,29,-20.0,-5.0,0.125,-5.75
2676,28,UK,30,-20.0,0.0,0.25,-2.75
2676,28,UK,31,-20.0,0.0,0.375,-5.75
2676,28,UK,32,-20.0,0.0,0.625,-10.75
2676,28,UK,33,-20.0,0.0,0.75,-15.75
2676,28,UK,34,-20.0,0.0,0.875,-16.75
2676,28,UK,35,-20.0,-5.0,0.875,-17.75
2676,28,UK,44,20.0,0.0,0.5,7.75
2677,28,UK,1,5.0,0.0,0.5,4.25
2677,28,UK,2,10.0,0.0,0.5,4.75
2677,28,UK,3,20.0,0.0,0.5,14.75
2677,28,UK,4,30.0,0.0,0.5,14.75
2677,28,UK,5,30.0,10.0,0.5,19.75
2677,28,UK,6,30.0,20.0,0.5,25.25
2677,28,UK,7,20.0,0.0,0.125,4.75
2677,28,UK,8,20.0,5.0,0.125,5.25
2677,28,UK,9,20.0,0.0,0.25,10.25
2677,28,UK,10,20.0,0.0,0.375,10.25
2677,28,UK,11,20.0,0.0,0.625,15.25
2677,28,UK,12,20.0,0.0,0.75,17.25
2677,28,UK,13,20.0,0.0,0.875,19.25
2677,28,UK,14,20.0,5.0,0.875,19.25
2677,28,UK,23,-5.0,0.0,0.5,-2.75
2677,28,UK,24,-10.0,0.0,0.5,-3.25
2677,28,UK,25,-20.0,0.0,0.5,-10.25
2677,28,UK,26,-20.0,-5.0,0.5,-10.25
2677,28,UK,27,-20.0,-10.0,0.5,-15.25
2677,28,UK,28,-20.0,0.0,0.125,-2.25
2677,28,UK,29,-20.0,-5.0,0.125,-10.25
2677,28,UK,30,-20.0,0.0,0.25,-5.25
2677,28,UK,31,-20.0,0.0,0.375,-7.75
2677,28,UK,32,-20.0,0.0,0.625,-15.25
2677,28,UK,33,-20.0,0.0,0.75,-15.75
2677,28,UK,34,-20.0,0.0,0.875,-17.75
2677,28,UK,35,-20.0,-5.0,0.875,-19.25
2677,28,UK,44,20.0,0.0,0.5,8.75
2678,28,UK,1,5.0,0.0,0.5,3.75
2678,28,UK,2,10.0,0.0,0.5,6.75
2678,28,UK,3,20.0,0.0,0.5,9.25
2678,28,UK,4,30.0,0.0,0.5,11.75
2678,28,UK,5,30.0,10.0,0.5,12.25
2678,28,UK,6,30.0,20.0,0.5,25.25
2678,28,UK,7,20.0,0.0,0.125,5.25
2678,28,UK,8,20.0,5.0,0.125,7.25
2678,28,UK,9,20.0,0.0,0.25,7.25
2678,28,UK,10,20.0,0.0,0.375,8.25
2678,28,UK,11,20.0,0.0,0.625,14.25
2678,28,UK,12,20.0,0.0,0.75,16.75
2678,28,UK,13,20.0,0.0,0.875,17.75
2678,28,UK,14,20.0,5.0,0.875,17.75
2678,28,UK,23,-5.0,0.0,0.5,-1.75
2678,28,UK,24,-10.0,0.0,0.5,-4.25
2678,28,UK,25,-20.0,0.0,0.5,-5.75
2678,28,UK,26,-20.0,-5.0,0.5,-5.75
2678,28,UK,27,-20.0,-10.0,0.5,-10.25
2678,28,UK,28,-20.0,0.0,0.125,-4.75
2678,28,UK,29,-20.0,-5.0,0.125,-5.25
2678,28,UK,30,-20.0,0.0,0.25,-4.75
2678,28,UK,31,-20.0,0.0,0.375,-4.75
2678,28,UK,32,-20.0,0.0,0.625,-3.75
2678,28,UK,33,-20.0,0.0,0.75,-3.75
2678,28,UK,34,-20.0,0.0,0.875,-2.75
2678,28,UK,35,-20.0,-5.0,0.875,-5.25
2678,28,UK,44,20.0,0.0,0.5,7.75
2679,28,UK,1,5.0,0.0,0.5,2.75
2679,28,UK,2,10.0,0.0,0.5,5.75
2679,28,UK,3,20.0,0.0,0.5,9.25
2679,28,UK,4,30.0,0.0,0.5,24.25
2679,28,UK,5,30.0,10.0,0.5,22.25
2679,28,UK,6,30.0,20.0,0.5,23.75
2679,28,UK,7,20.0,0.0,0.125,17.25
2679,28,UK,8,20.0,5.0,0.125,10.75
2679,28,UK,9,20.0,0.0,0.25,0.25
2679,28,UK,10,20.0,0.0,0.375,12.75
2679,28,UK,11,20.0,0.0,0.625,9.25
2679,28,UK,12,20.0,0.0,0.75,9.75
2679,28,UK,13,20.0,0.0,0.875,12.75
2679,28,UK,14,20.0,5.0,0.875,12.75
