subject,country,country_name,lottery,z1,z2,p1,ce
2853,30,Vietnam,1,5.0,0.0,0.5,4.75
2853,30,Vietnam,2,10.0,0.0,0.5,6.75
2853,30,Vietnam,3,20.0,0.0,0.5,12.75
2853,30,Vietnam,4,30.0,0.0,0.5,15.25
2853,30,Vietnam,5,30.0,10.0,0.5,24.25
2853,30,Vietnam,6,30.0,20.0,0.5,26.25
2853,30,Vietnam,7,20.0,0.0,0.125,14.75
2853,30,Vietnam,8,20.0,5.0,0.125,15.25
2853,30,Vietnam,9,20.0,0.0,0.25,12.75
2853,30,Vietnam,10,20.0,0.0,0.375,11.25
2853,30,Vietnam,11,20.0,0.0,0.625,16.25
2853,30,Vietnam,12,20.0,0.0,0.75,17.25
2853,30,Vietnam,13,20.0,0.0,0.875,19.75
2853,30,Vietnam,14,20.0,5.0,0.875,19.75
2853,30,Vietnam,23,-5.0,0.0,0.5,-3.25
2853,30,Vietnam,24,-10.0,0.0,0.5,-6.75
2853,30,Vietnam,25,-20.0,0.0,0.5,-12.75
2853,30,Vietnam,26,-20.0,-5.0,0.5,-12.75
2853,30,Vietnam,27,-20.0,-10.0,0.5,-14.75
2853,30,Vietnam,28,-20.0,0.0,0.125,-1.25
2853,30,Vietnam,29,-20.0,-5.0,0.125,-5.25
2853,30,Vietnam,30,-20.0,0.0,0.25,-0.25
2853,30,Vietnam,31,-20.0,0.0,0.375,-5.25
2853,30,Vietnam,32,-20.0,0.0,0.625,-15.25
2853,30,Vietnam,33,-20.0,0.0,0.75,-17.25
2853,30,Vietnam,34,-20.0,0.0,0.875,-18.25
2853,30,Vietnam,35,-20.0,-5.0,0.875,-17.75
2853,30,Vietnam,44,20.0,0.0,0.5,20.25
2854,30,Vietnam,1,5.0,0.0,0.5,2.75
2854,30,Vietnam,2,10.0,0.0,0.5,8.25
2854,30,Vietnam,3,20.0,0.0,0.5,16.25
2854,30,Vietnam,4,30.0,0.0,0.5,21.25
2854,30,Vietnam,5,30.0,10.0,0.5,25.25
2854,30,Vietnam,6,30.0,20.0,0.5,25.25
2854,30,Vietnam,7,20.0,0.0,0.125,4.25
2854,30,Vietnam,8,20.0,5.0,0.125,15.75
2854,30,Vietnam,9,20.0,0.0,0.25,10.25
2854,30,Vietnam,10,20.0,0.0,0.375,12.25
2854,30,Vietnam,11,20.0,0.0,0.625,16.75
2854,30,Vietnam,12,20.0,0.0,0.75,15.25
2854,30,Vietnam,13,20.0,0.0,0.875,17.75
2854,30,Vietnam,14,20.0,5.0,0.875,12.25
2854,30,Vietnam,23,-5.0,0.0,0.5,-3.75
2854,30,Vietnam,24,-10.0,0.0,0.5,-6.75
2854,30,Vietnam,25,-20.0,0.0,0.5,-5.75
2854,30,Vietnam,26,-20.0,-5.0,0.5,-14.25
2854,30,Vietnam,27,-20.0,-10.0,0.5,-13.75
2854,30,Vietnam,28,-20.0,0.0,0.125,-2.25
2854,30,Vietnam,29,-20.0,-5.0,0.125,-13.25
2854,30,Vietnam,30,-20.0,0.0,0.25,-2.75
2854,30,Vietnam,31,-20.0,0.0,0.375,-4.75
2854,30,Vietnam,32,-20.0,0.0,0.625,-7.75
2854,30,Vietnam,33,-20.0,0.0,0.75,-14.75
2854,30,Vietnam,34,-20.0,0.0,0.875,-17.25
2854,30,Vietnam,35,-20.0,-5.0,0.875,-11.25
2854,30,Vietnam,44,20.0,0.0,0.5,11.75
2855,30,Vietnam,1,5.0,0.0,0.5,2.75
2855,30,Vietnam,2,10.0,0.0,0.5,6.25
2855,30,Vietnam,3,20.0,0.0,0.5,6.25
2855,30,Vietnam,4,30.0,0.0,0.5,15.25
2855,30,Vietnam,5,30.0,10.0,0.5,10.25
2855,30,Vietnam,6,30.0,20.0,0.5,25.75
2855,30,Vietnam,7,20.0,0.0,0.125,4.75
2855,30,Vietnam,8,20.0,5.0,0.125,7.75
2855,30,Vietnam,9,20.0,0.0,0.25,5.25
2855,30,Vietnam,10,20.0,0.0,0.375,6.75
2855,30,Vietnam,11,20.0,0.0,0.625,10.75
2855,30,Vietnam,12,20.0,0.0,0.75,15.75
2855,30,Vietnam,13,20.0,0.0,0.875,19.75
2855,30,Vietnam,14,20.0,5.0,0.875,9.25
2855,30,Vietnam,23,-5.0,0.0,0.5,-2.75
2855,30,Vietnam,24,-10.0,0.0,0.5,-4.75
2855,30,Vietnam,25,-20.0,0.0,0.5,-8.75
2855,30,Vietnam,26,-20.0,-5.0,0.5,-15.25
2855,30,Vietnam,27,-20.0,-10.0,0.5,-15.25
2855,30,Vietnam,28,-20.0,0.0,0.125,-0.25
2855,30,Vietnam,29,-20.0,-5.0,0.125,-5.25
2855,30,Vietnam,30,-20.0,0.0,0.25,-5.25
2855,30,Vietnam,31,-20.0,0.0,0.375,-7.75
2855,30,Vietnam,32,-20.0,0.0,0.625,-10.75
2855,30,Vietnam,33,-20.0,0.0,0.75,-14.75
2855,30,Vietnam,34,-20.0,0.0,0.875,-14.25
2855,30,Vietnam,35,-20.0,-5.0,0.875,-13.75
2855,30,Vietnam,44,20.0,0.0,0.5,12.75
2856,30,Vietnam,1,5.0,0.0,0.5,3.75
2856,30,Vietnam,2,10.0,0.0,0.5,7.25
2856,30,Vietnam,3,20.0,0.0,0.5,12.75
2856,30,Vietnam,4,30.0,0.0,0.5,17.25
2856,30,Vietnam,5,30.0,10.0,0.5,19.75
2856,30,Vietnam,6,30.0,20.0,0.5,24.75
2856,30,Vietnam,7,20.0,0.0,0.125,9.75
2856,30,Vietnam,8,20.0,5.0,0.125,11.25
2856,30,Vietnam,9,20.0,0.0,0.25,9.75
2856,30,Vietnam,10,20.0,0.0,0.375,10.75
2856,30,Vietnam,11,20.0,0.0,0.625,13.75
2856,30,Vietnam,12,20.0,0.0,0.75,17.25
2856,30,Vietnam,13,20.0,0.0,0.875,18.75
2856,30,Vietnam,14,20.0,5.0,0.875,18.75
2856,30,Vietnam,23,-5.0,0.0,0.5,-2.25
2856,30,Vietnam,24,-10.0,0.0,0.5,-5.25
2856,30,Vietnam,25,-20.0,0.0,0.5,-7.75
2856,30,Vietnam,26,-20.0,-5.0,0.5,-10.25
2856,30,Vietnam,27,-20.0,-10.0,0.5,-12.75
2856,30,Vietnam,28,-20.0,0.0,0.125,-0.75
2856,30,Vietnam,29,-20.0,-5.0,0.125,-6.25
2856,30,Vietnam,30,-20.0,0.0,0.25,-2.75
2856,30,Vietnam,31,-20.0,0.0,0.375,-5.25
2856,30,Vietnam,32,-20.0,0.0,0.625,-5.75
2856,30,Vietnam,33,-20.0,0.0,0.75,-10.25
2856,30,Vietnam,34,-20.0,0.0,0.875,-15.25
2856,30,Vietnam,35,-20.0,-5.0,0.875,-15.25
2856,30,Vietnam,44,20.0,0.0,0.5,20.25
2857,30,Vietnam,1,5.0,0.0,0.5,4.75
