Unnamed: 0,subject,_j,session,q,multiple_switch,order,age,status,major,prob1,ceprop,lottery,z1,z2,p1,ce
18,17,19,1,1.0,Yes,0,32.0,Grad,Law,0.05,0.02,19,25.0,0.0,0.050000000745058,0.4999999888241291
19,17,20,1,8.0,Yes,0,32.0,Grad,Law,0.1,0.3,20,25.0,0.0,0.1000000014901161,7.500000298023224
20,17,21,1,14.0,Yes,0,32.0,Grad,Law,0.25,0.54,21,25.0,0.0,0.25,13.500000536441805
21,17,22,1,19.0,Yes,0,32.0,Grad,Law,0.5,0.74,22,25.0,0.0,0.5,18.50000023841858
22,17,23,1,20.0,Yes,0,32.0,Grad,Law,0.75,0.78,23,25.0,0.0,0.75,19.499999284744263
23,17,24,1,20.0,Yes,0,32.0,Grad,Law,0.9,0.78,24,25.0,0.0,0.8999999761581421,19.499999284744263
24,17,25,1,24.0,Yes,0,32.0,Grad,Law,0.95,0.94,25,25.0,0.0,0.949999988079071,23.499999940395355
46,18,19,1,5.0,No,0,29.0,Grad,Bio-Engineering,0.05,0.18,19,25.0,0.0,0.050000000745058,4.500000178813934
47,18,20,1,5.0,No,0,29.0,Grad,Bio-Engineering,0.1,0.18,20,25.0,0.0,0.1000000014901161,4.500000178813934
48,18,21,1,5.0,No,0,29.0,Grad,Bio-Engineering,0.25,0.18,21,25.0,0.0,0.25,4.500000178813934
49,18,22,1,15.0,No,0,29.0,Grad,Bio-Engineering,0.5,0.58,22,25.0,0.0,0.5,14.499999582767488
50,18,23,1,18.0,No,0,29.0,Grad,Bio-Engineering,0.75,0.7,23,25.0,0.0,0.75,17.499999701976776
51,18,24,1,22.0,No,0,29.0,Grad,Bio-Engineering,0.9,0.86,24,25.0,0.0,0.8999999761581421,21.50000035762787
52,18,25,1,25.0,No,0,29.0,Grad,Bio-Engineering,0.95,0.98,25,25.0,0.0,0.949999988079071,24.50000047683716
74,19,19,1,5.0,No,0,21.0,Senior,Biology,0.05,0.18,19,25.0,0.0,0.050000000745058,4.500000178813934
