subject,z1,z2,p1,ce
1,2.0,0.0,0.5,2.1
1,5.0,0.0,0.5,4.1
1,10.0,0.0,0.5,10.1
1,15.0,0.0,0.5,14.5
1,20.0,0.0,0.5,11.5
1,25.0,0.0,0.5,22.2
1,28.0,0.0,0.5,14.9
1,10.0,0.0,0.25,6.7
1,15.0,0.0,0.25,8.69999999999999
1,20.0,0.0,0.25,12.8
1,15.0,0.0,0.75,15.0
1,20.0,0.0,0.9,20.1
1,10.0,0.0,0.18,5.2
1,20.0,0.0,0.09,6.9
1,20.0,0.0,0.75,20.1
1,20.0,0.0,0.18,12.1
1,10.0,0.0,0.1763999999999999,6.8
1,10.0,0.0,0.18,6.5
1,10.0,0.0,0.18,6.5
1,10.0,0.0,0.1763999999999999,8.5
1,10.0,0.0,0.18,6.7
1,10.0,0.0,0.18,6.1
1,10.0,0.0,0.18,8.69999999999999
1,10.0,0.0,0.18,7.3
1,20.0,0.0,0.09,8.6
1,20.0,0.0,0.09,10.2
1,20.0,0.0,0.09,11.2
1,20.0,0.0,0.09,9.8
1,20.0,0.0,0.09,12.0
1,20.0,0.0,0.09,9.8
1,20.0,0.0,0.09,12.1
1,20.0,0.0,0.09,10.1
1,10.0,0.0,0.18,4.9
1,20.0,0.0,0.09,4.7
1,10.0,0.0,0.1763999999999999,7.0
1,10.0,0.0,0.18,5.0
1,20.0,0.0,0.09,8.5
1,20.0,0.0,0.09,6.5
2,2.0,0.0,0.5,0.6
2,5.0,0.0,0.5,3.8
2,10.0,0.0,0.5,7.6
2,15.0,0.0,0.5,9.5
2,20.0,0.0,0.5,9.8
2,25.0,0.0,0.5,11.8
2,28.0,0.0,0.5,18.8
2,10.0,0.0,0.25,3.8
2,15.0,0.0,0.25,7.9
2,20.0,0.0,0.25,4.8
2,15.0,0.0,0.75,11.6
2,20.0,0.0,0.9,11.8
2,10.0,0.0,0.18,3.2
2,20.0,0.0,0.09,7.8
2,20.0,0.0,0.75,5.6
2,20.0,0.0,0.18,13.8
2,10.0,0.0,0.1763999999999999,3.7
2,10.0,0.0,0.18,5.8
2,10.0,0.0,0.18,5.2
2,10.0,0.0,0.1763999999999999,5.6
2,10.0,0.0,0.18,5.8
2,10.0,0.0,0.18,5.8
2,10.0,0.0,0.18,7.7
2,10.0,0.0,0.18,7.9
2,20.0,0.0,0.09,7.9
2,20.0,0.0,0.09,12.9
2,20.0,0.0,0.09,7.6
2,20.0,0.0,0.09,13.7
2,20.0,0.0,0.09,13.5
2,20.0,0.0,0.09,9.8
2,20.0,0.0,0.09,13.7
2,20.0,0.0,0.09,13.8
2,10.0,0.0,0.18,5.2
2,20.0,0.0,0.09,13.7
2,10.0,0.0,0.1763999999999999,7.8
2,10.0,0.0,0.18,7.8
2,20.0,0.0,0.09,7.6
2,20.0,0.0,0.09,7.0
3,2.0,0.0,0.5,2.1
3,5.0,0.0,0.5,3.8
3,10.0,0.0,0.5,2.0
3,15.0,0.0,0.5,6.1
3,20.0,0.0,0.5,11.5
3,25.0,0.0,0.5,5.0
3,28.0,0.0,0.5,7.5
3,10.0,0.0,0.25,3.0
3,15.0,0.0,0.25,4.1
3,20.0,0.0,0.25,7.8
3,15.0,0.0,0.75,7.5
3,20.0,0.0,0.9,20.1
3,10.0,0.0,0.18,1.5
3,20.0,0.0,0.09,2.5
3,20.0,0.0,0.75,13.3
3,20.0,0.0,0.18,3.7
3,10.0,0.0,0.1763999999999999,2.5
3,10.0,0.0,0.18,3.0
3,10.0,0.0,0.18,3.9
3,10.0,0.0,0.1763999999999999,5.0
3,10.0,0.0,0.18,2.5
3,10.0,0.0,0.18,2.5
3,10.0,0.0,0.18,2.8
3,10.0,0.0,0.18,2.3
3,20.0,0.0,0.09,4.1
3,20.0,0.0,0.09,2.1
3,20.0,0.0,0.09,2.5
3,20.0,0.0,0.09,3.0
3,20.0,0.0,0.09,2.2
3,20.0,0.0,0.09,3.0
3,20.0,0.0,0.09,2.1
3,20.0,0.0,0.09,2.0
3,10.0,0.0,0.18,2.5
3,20.0,0.0,0.09,1.7
3,10.0,0.0,0.1763999999999999,2.5
3,10.0,0.0,0.18,2.5
3,20.0,0.0,0.09,5.5
3,20.0,0.0,0.09,3.9
4,2.0,0.0,0.5,2.1
4,5.0,0.0,0.5,3.5
4,10.0,0.0,0.5,7.5
4,15.0,0.0,0.5,11.5
4,20.0,0.0,0.5,11.5
4,25.0,0.0,0.5,19.2
4,28.0,0.0,0.5,17.2
4,10.0,0.0,0.25,5.8
4,15.0,0.0,0.25,14.8
4,20.0,0.0,0.25,4.8
4,15.0,0.0,0.75,8.9
4,20.0,0.0,0.9,15.2
4,10.0,0.0,0.18,4.8
4,20.0,0.0,0.09,3.3
4,20.0,0.0,0.75,7.8
4,20.0,0.0,0.18,4.5
4,10.0,0.0,0.1763999999999999,4.8
4,10.0,0.0,0.18,6.8
4,10.0,0.0,0.18,9.1
4,10.0,0.0,0.1763999999999999,2.5
4,10.0,0.0,0.18,3.2
4,10.0,0.0,0.18,3.4
4,10.0,0.0,0.18,4.8
4,10.0,0.0,0.18,4.4
4,20.0,0.0,0.09,6.8
4,20.0,0.0,0.09,9.19999999999999
4,20.0,0.0,0.09,9.3
