subject,z1,z2,p1,ce
102914105,6.0,0.0,0.5,2.625
102914105,6.0,0.0,0.5,2.874999996
102914105,8.0,0.0,0.5,3.9
102914105,8.0,0.0,0.5,3.875
102914105,10.0,0.0,0.5,4.875
102914105,10.0,0.0,0.5,4.624999985
102914106,6.0,0.0,0.5,2.874999996
102914106,6.0,0.0,0.5,2.874999996
102914106,8.0,0.0,0.5,3.9
102914106,8.0,0.0,0.5,3.875
102914106,10.0,0.0,0.5,4.875
102914106,10.0,0.0,0.5,4.875
102914107,6.0,0.0,0.5,2.37500001
102914107,6.0,0.0,0.5,2.12500002
102914107,8.0,0.0,0.5,3.699999988
102914107,8.0,0.0,0.5,3.875
102914107,10.0,0.0,0.5,3.87500005
102914107,10.0,0.0,0.5,3.62499995
102914108,6.0,0.0,0.5,2.37500001
102914108,6.0,0.0,0.5,2.874999996
102914108,8.0,0.0,0.5,3.10000004
102914108,8.0,0.0,0.5,2.875
102914108,10.0,0.0,0.5,3.87500005
102914108,10.0,0.0,0.5,3.87500005
102914109,6.0,0.0,0.5,3.125000004
102914109,6.0,0.0,0.5,2.12500002
102914109,8.0,0.0,0.5,4.1
102914109,8.0,0.0,0.5,3.125
102914109,10.0,0.0,0.5,5.125
102914109,10.0,0.0,0.5,4.125
102914110,6.0,0.0,0.5,2.37500001
102914110,6.0,0.0,0.5,1.875
102914110,8.0,0.0,0.5,3.9
102914110,8.0,0.0,0.5,2.875
102914110,10.0,0.0,0.5,3.87500005
102914110,10.0,0.0,0.5,3.37500005
102914111,6.0,0.0,0.5,4.5
102914111,8.0,0.0,0.5,4.60000004
102914111,10.0,0.0,0.5,4.875
102914112,6.0,0.0,0.5,2.874999996
102914112,6.0,0.0,0.5,1.875
102914112,8.0,0.0,0.5,3.9
102914112,8.0,0.0,0.5,1.875
102914112,10.0,0.0,0.5,4.875
102914112,10.0,0.0,0.5,2.2499999500000003
102914113,6.0,0.0,0.5,1.875
102914113,6.0,0.0,0.5,3.75
102914113,8.0,0.0,0.5,3.10000004
102914113,8.0,0.0,0.5,3.875
102914113,10.0,0.0,0.5,4.875
102914113,10.0,0.0,0.5,4.875
102914118,6.0,0.0,0.5,2.37500001
102914118,8.0,0.0,0.5,3.699999988
102914118,8.0,0.0,0.5,3.625
102914118,10.0,0.0,0.5,3.87500005
102914118,10.0,0.0,0.5,5.375000015
102914119,6.0,0.0,0.5,2.874999996
102914119,6.0,0.0,0.5,1.875
102914119,8.0,0.0,0.5,3.9
102914119,8.0,0.0,0.5,2.875
102914119,10.0,0.0,0.5,4.875
102914119,10.0,0.0,0.5,3.37500005
102914120,6.0,0.0,0.5,2.874999996
102914120,6.0,0.0,0.5,2.874999996
102914120,8.0,0.0,0.5,3.10000004
102914120,8.0,0.0,0.5,3.125
102914120,10.0,0.0,0.5,3.87500005
102914120,10.0,0.0,0.5,3.87500005
102914122,6.0,0.0,0.5,2.37500001
102914122,6.0,0.0,0.5,2.874999996
102914122,8.0,0.0,0.5,3.5
102914122,8.0,0.0,0.5,2.875
102914122,10.0,0.0,0.5,5.75000005
102914122,10.0,0.0,0.5,5.75000005
102914123,6.0,0.0,0.5,3.75
102914123,6.0,0.0,0.5,2.874999996
102914123,8.0,0.0,0.5,3.9
102914123,8.0,0.0,0.5,4.75
102914123,10.0,0.0,0.5,4.375
102914123,10.0,0.0,0.5,4.875
102914124,6.0,0.0,0.5,3.125000004
102914124,6.0,0.0,0.5,3.75
102914124,8.0,0.0,0.5,3.9
102914124,8.0,0.0,0.5,4.75
102914124,10.0,0.0,0.5,5.75000005
102914124,10.0,0.0,0.5,5.75000005
102914125,6.0,0.0,0.5,2.874999996
102914125,6.0,0.0,0.5,2.37500001
102914125,8.0,0.0,0.5,3.5
102914125,8.0,0.0,0.5,2.625
102914125,10.0,0.0,0.5,5.125
102914125,10.0,0.0,0.5,3.62499995
102915102,6.0,0.0,0.5,2.625
102915102,6.0,0.0,0.5,2.37500001
102915102,8.0,0.0,0.5,3.9
102915102,8.0,0.0,0.5,2.875
102915102,10.0,0.0,0.5,5.125
102915102,10.0,0.0,0.5,4.375
102915103,6.0,0.0,0.5,3.75
102915103,6.0,0.0,0.5,1.875
102915103,8.0,0.0,0.5,4.300000012
102915103,8.0,0.0,0.5,4.375
102915103,10.0,0.0,0.5,6.50000005
102915103,10.0,0.0,0.5,4.875
102915104,6.0,0.0,0.5,3.75
102915104,6.0,0.0,0.5,3.75
102915104,8.0,0.0,0.5,4.300000012
102915104,8.0,0.0,0.5,4.75
102915104,10.0,0.0,0.5,4.875
102915104,10.0,0.0,0.5,5.375000015
102917202,6.0,0.0,0.5,3.75
102917202,6.0,0.0,0.5,1.875
102917202,8.0,0.0,0.5,3.9
102917202,8.0,0.0,0.5,2.875
102917202,10.0,0.0,0.5,4.875
102917202,10.0,0.0,0.5,3.87500005
102917203,6.0,0.0,0.5,2.874999996
102917203,6.0,0.0,0.5,2.37500001
102917203,8.0,0.0,0.5,3.9
102917203,8.0,0.0,0.5,3.125
102917203,10.0,0.0,0.5,4.624999985
102917203,10.0,0.0,0.5,3.87500005
102917204,6.0,0.0,0.5,3.75
102917204,8.0,0.0,0.5,3.10000004
102917204,10.0,0.0,0.5,5.125
102917205,6.0,0.0,0.5,2.625
102917205,6.0,0.0,0.5,1.875
102917205,8.0,0.0,0.5,2.89999996
102917205,8.0,0.0,0.5,1.875
102917205,10.0,0.0,0.5,4.125
102917205,10.0,0.0,0.5,3.125
102917207,6.0,0.0,0.5,2.874999996
102917207,6.0,0.0,0.5,1.125
102917207,8.0,0.0,0.5,3.10000004
102917207,8.0,0.0,0.5,1.875
102917207,10.0,0.0,0.5,3.87500005
102917207,10.0,0.0,0.5,2.75000005
102917208,6.0,0.0,0.5,2.874999996
102917208,6.0,0.0,0.5,3.75
102917208,8.0,0.0,0.5,3.5
102917208,8.0,0.0,0.5,3.875
102917208,10.0,0.0,0.5,3.87500005
102917208,10.0,0.0,0.5,4.375
102917209,6.0,0.0,0.5,2.874999996
102917209,6.0,0.0,0.5,3.375
102917209,8.0,0.0,0.5,3.9
102917209,8.0,0.0,0.5,4.375
102917209,10.0,0.0,0.5,4.875
102917209,10.0,0.0,0.5,5.75000005
102917210,6.0,0.0,0.5,1.125
102917210,6.0,0.0,0.5,1.125
102917210,8.0,0.0,0.5,1.875
102917210,10.0,0.0,0.5,1.5000000499999997
102917210,10.0,0.0,0.5,4.125
